att0	att1	att2	att3	att4	att5	att6	att7	att8	att9	att10	att11	att12	att13	att14	att15	att16	att17	att18	att19	att20	att21	att22	att23	att24	att25	att26	att27	att28	att29	att30	att31	att32	att33	att34	att35	att36	att37	att38	att39	att40	att41	att42	att43	att44	att45	att46	att47	att48	att49	Class
"s163"	"s3"	"s22"	"s113"	"s52"	"s168"	"s107"	"s105"	"s10"	"s63"	"s22"	"s187"	"s129"	"s182"	"s29"	"s160"	"s64"	"s61"	"s16"	"s93"	"s58"	"s33"	"s44"	"s128"	"s62"	"s161"	"s118"	"s120"	"s98"	"s172"	"s157"	"s181"	"s146"	"s93"	"s90"	"s152"	"s73"	"s116"	"s96"	"s17"	"s184"	"s37"	"s129"	"s54"	"s14"	"s117"	"s85"	"s177"	"s154"	"s86"	true
"s14"	"s162"	"s14"	"s36"	"s51"	"s11"	"s164"	"s136"	"s179"	"s116"	"s16"	"s60"	"s85"	"s137"	"s122"	"s88"	"s22"	"s93"	"s127"	"s110"	"s6"	"s9"	"s196"	"s87"	"s20"	"s30"	"s144"	"s152"	"s82"	"s191"	"s154"	"s124"	"s89"	"s146"	"s173"	"s152"	"s73"	"s116"	"s96"	"s176"	"s63"	"s9"	"s35"	"s192"	"s17"	"s72"	"s83"	"s160"	"s3"	"s122"	true
"s50"	"s60"	"s130"	"s196"	"s130"	"s22"	"s30"	"s190"	"s184"	"s28"	"s119"	"s100"	"s104"	"s134"	"s2"	"s31"	"s107"	"s74"	"s76"	"s78"	"s141"	"s66"	"s118"	"s130"	"s128"	"s148"	"s53"	"s131"	"s84"	"s114"	"s150"	"s175"	"s98"	"s131"	"s103"	"s152"	"s73"	"s116"	"s96"	"s71"	"s107"	"s96"	"s147"	"s29"	"s51"	"s117"	"s105"	"s131"	"s143"	"s47"	true
"s191"	"s61"	"s116"	"s198"	"s153"	"s119"	"s37"	"s7"	"s37"	"s154"	"s192"	"s31"	"s20"	"s185"	"s3"	"s196"	"s191"	"s127"	"s141"	"s71"	"s99"	"s55"	"s47"	"s59"	"s50"	"s169"	"s70"	"s122"	"s82"	"s106"	"s91"	"s127"	"s122"	"s71"	"s139"	"s152"	"s73"	"s116"	"s96"	"s75"	"s171"	"s106"	"s5"	"s93"	"s75"	"s87"	"s165"	"s141"	"s102"	"s154"	true
"s163"	"s33"	"s197"	"s112"	"s109"	"s120"	"s187"	"s18"	"s47"	"s147"	"s10"	"s69"	"s43"	"s191"	"s141"	"s67"	"s85"	"s47"	"s85"	"s40"	"s155"	"s72"	"s83"	"s65"	"s33"	"s45"	"s125"	"s150"	"s17"	"s141"	"s90"	"s38"	"s189"	"s125"	"s10"	"s152"	"s73"	"s116"	"s96"	"s80"	"s123"	"s125"	"s196"	"s7"	"s116"	"s47"	"s142"	"s68"	"s144"	"s59"	true
"s28"	"s75"	"s151"	"s64"	"s185"	"s23"	"s121"	"s132"	"s34"	"s62"	"s20"	"s120"	"s88"	"s85"	"s88"	"s150"	"s11"	"s15"	"s96"	"s47"	"s73"	"s94"	"s147"	"s177"	"s100"	"s65"	"s7"	"s175"	"s156"	"s62"	"s174"	"s112"	"s90"	"s96"	"s118"	"s152"	"s73"	"s116"	"s96"	"s148"	"s158"	"s84"	"s124"	"s116"	"s57"	"s0"	"s155"	"s182"	"s125"	"s197"	true
"s129"	"s185"	"s110"	"s99"	"s132"	"s62"	"s104"	"s94"	"s167"	"s120"	"s140"	"s148"	"s115"	"s175"	"s36"	"s12"	"s13"	"s14"	"s167"	"s78"	"s108"	"s22"	"s117"	"s149"	"s15"	"s22"	"s140"	"s151"	"s31"	"s79"	"s126"	"s40"	"s88"	"s117"	"s135"	"s152"	"s73"	"s116"	"s96"	"s144"	"s126"	"s150"	"s15"	"s131"	"s135"	"s32"	"s80"	"s194"	"s130"	"s130"	true
"s193"	"s86"	"s48"	"s40"	"s129"	"s69"	"s98"	"s34"	"s150"	"s139"	"s174"	"s198"	"s183"	"s63"	"s62"	"s27"	"s106"	"s74"	"s126"	"s8"	"s62"	"s178"	"s29"	"s174"	"s14"	"s131"	"s193"	"s3"	"s6"	"s160"	"s95"	"s168"	"s165"	"s125"	"s142"	"s152"	"s73"	"s116"	"s96"	"s76"	"s42"	"s31"	"s37"	"s65"	"s100"	"s177"	"s46"	"s64"	"s72"	"s33"	true
"s138"	"s124"	"s65"	"s103"	"s15"	"s174"	"s139"	"s144"	"s175"	"s49"	"s34"	"s25"	"s176"	"s163"	"s56"	"s180"	"s160"	"s165"	"s179"	"s37"	"s120"	"s73"	"s109"	"s34"	"s186"	"s57"	"s150"	"s142"	"s129"	"s15"	"s55"	"s15"	"s64"	"s68"	"s184"	"s152"	"s73"	"s116"	"s96"	"s95"	"s101"	"s173"	"s180"	"s114"	"s184"	"s161"	"s86"	"s132"	"s57"	"s61"	true
"s6"	"s81"	"s113"	"s31"	"s102"	"s21"	"s109"	"s114"	"s182"	"s144"	"s193"	"s91"	"s77"	"s51"	"s24"	"s33"	"s111"	"s168"	"s66"	"s159"	"s53"	"s165"	"s66"	"s184"	"s72"	"s110"	"s166"	"s179"	"s170"	"s0"	"s135"	"s94"	"s8"	"s40"	"s41"	"s152"	"s73"	"s116"	"s96"	"s83"	"s114"	"s159"	"s81"	"s71"	"s151"	"s139"	"s58"	"s186"	"s161"	"s80"	true
"s23"	"s95"	"s179"	"s72"	"s141"	"s155"	"s147"	"s1"	"s162"	"s167"	"s33"	"s91"	"s119"	"s152"	"s17"	"s132"	"s77"	"s55"	"s66"	"s144"	"s7"	"s57"	"s184"	"s154"	"s67"	"s54"	"s133"	"s2"	"s107"	"s43"	"s15"	"s187"	"s103"	"s125"	"s6"	"s152"	"s73"	"s116"	"s96"	"s102"	"s59"	"s114"	"s184"	"s192"	"s124"	"s160"	"s34"	"s50"	"s68"	"s128"	true
"s127"	"s47"	"s117"	"s187"	"s94"	"s136"	"s67"	"s94"	"s174"	"s92"	"s121"	"s113"	"s180"	"s152"	"s17"	"s125"	"s98"	"s163"	"s67"	"s104"	"s39"	"s103"	"s196"	"s9"	"s161"	"s16"	"s72"	"s94"	"s144"	"s72"	"s13"	"s159"	"s84"	"s91"	"s111"	"s152"	"s73"	"s116"	"s96"	"s102"	"s138"	"s166"	"s77"	"s4"	"s127"	"s79"	"s126"	"s189"	"s152"	"s72"	true
"s116"	"s93"	"s123"	"s5"	"s16"	"s80"	"s134"	"s82"	"s13"	"s86"	"s163"	"s66"	"s117"	"s68"	"s70"	"s145"	"s154"	"s4"	"s119"	"s167"	"s34"	"s107"	"s114"	"s120"	"s118"	"s119"	"s151"	"s88"	"s52"	"s195"	"s108"	"s92"	"s142"	"s89"	"s35"	"s152"	"s73"	"s116"	"s96"	"s81"	"s195"	"s179"	"s126"	"s93"	"s67"	"s6"	"s141"	"s153"	"s167"	"s47"	true
"s138"	"s20"	"s81"	"s171"	"s95"	"s135"	"s7"	"s188"	"s123"	"s186"	"s109"	"s162"	"s197"	"s3"	"s130"	"s129"	"s10"	"s155"	"s144"	"s87"	"s17"	"s101"	"s198"	"s151"	"s58"	"s27"	"s2"	"s141"	"s7"	"s93"	"s60"	"s45"	"s41"	"s122"	"s51"	"s152"	"s73"	"s116"	"s96"	"s100"	"s81"	"s169"	"s92"	"s4"	"s102"	"s156"	"s169"	"s92"	"s32"	"s143"	true
"s46"	"s86"	"s121"	"s19"	"s23"	"s148"	"s166"	"s123"	"s42"	"s92"	"s121"	"s166"	"s142"	"s161"	"s72"	"s50"	"s14"	"s39"	"s116"	"s18"	"s142"	"s189"	"s136"	"s143"	"s107"	"s14"	"s193"	"s95"	"s37"	"s99"	"s50"	"s144"	"s41"	"s29"	"s98"	"s152"	"s73"	"s116"	"s96"	"s42"	"s68"	"s21"	"s1"	"s161"	"s188"	"s4"	"s189"	"s175"	"s196"	"s0"	true
"s131"	"s168"	"s144"	"s121"	"s157"	"s168"	"s78"	"s162"	"s152"	"s35"	"s158"	"s48"	"s79"	"s92"	"s130"	"s97"	"s83"	"s94"	"s182"	"s3"	"s118"	"s84"	"s4"	"s15"	"s101"	"s41"	"s24"	"s11"	"s117"	"s198"	"s106"	"s102"	"s66"	"s59"	"s176"	"s152"	"s73"	"s116"	"s96"	"s63"	"s23"	"s170"	"s1"	"s94"	"s18"	"s147"	"s36"	"s20"	"s151"	"s190"	true
"s171"	"s134"	"s116"	"s30"	"s187"	"s83"	"s58"	"s51"	"s176"	"s30"	"s20"	"s189"	"s25"	"s160"	"s149"	"s71"	"s45"	"s2"	"s66"	"s28"	"s28"	"s153"	"s117"	"s196"	"s136"	"s9"	"s111"	"s65"	"s190"	"s169"	"s116"	"s49"	"s127"	"s92"	"s90"	"s152"	"s73"	"s116"	"s96"	"s37"	"s110"	"s95"	"s26"	"s66"	"s103"	"s145"	"s26"	"s41"	"s101"	"s136"	true
"s65"	"s119"	"s109"	"s169"	"s103"	"s87"	"s158"	"s147"	"s59"	"s15"	"s179"	"s170"	"s5"	"s63"	"s154"	"s160"	"s161"	"s48"	"s84"	"s94"	"s194"	"s33"	"s67"	"s34"	"s128"	"s11"	"s154"	"s73"	"s32"	"s98"	"s37"	"s130"	"s196"	"s58"	"s144"	"s152"	"s73"	"s116"	"s96"	"s152"	"s116"	"s161"	"s139"	"s138"	"s98"	"s117"	"s84"	"s195"	"s33"	"s190"	true
"s95"	"s165"	"s133"	"s190"	"s37"	"s41"	"s89"	"s180"	"s125"	"s66"	"s165"	"s120"	"s62"	"s45"	"s107"	"s105"	"s37"	"s109"	"s162"	"s182"	"s119"	"s65"	"s12"	"s156"	"s126"	"s121"	"s189"	"s129"	"s56"	"s76"	"s111"	"s164"	"s169"	"s97"	"s37"	"s152"	"s73"	"s116"	"s96"	"s194"	"s77"	"s60"	"s144"	"s86"	"s92"	"s128"	"s53"	"s27"	"s132"	"s44"	true
"s64"	"s46"	"s56"	"s42"	"s10"	"s70"	"s83"	"s85"	"s95"	"s75"	"s155"	"s173"	"s16"	"s116"	"s79"	"s178"	"s10"	"s133"	"s102"	"s134"	"s149"	"s66"	"s59"	"s58"	"s55"	"s68"	"s47"	"s6"	"s10"	"s151"	"s108"	"s19"	"s147"	"s98"	"s192"	"s152"	"s73"	"s116"	"s96"	"s188"	"s192"	"s54"	"s114"	"s69"	"s66"	"s199"	"s140"	"s36"	"s157"	"s80"	true
"s123"	"s67"	"s115"	"s176"	"s69"	"s51"	"s104"	"s101"	"s0"	"s83"	"s57"	"s31"	"s153"	"s108"	"s168"	"s56"	"s1"	"s144"	"s146"	"s107"	"s16"	"s35"	"s177"	"s189"	"s31"	"s80"	"s69"	"s3"	"s121"	"s66"	"s178"	"s0"	"s43"	"s133"	"s177"	"s152"	"s73"	"s116"	"s96"	"s199"	"s146"	"s57"	"s19"	"s57"	"s108"	"s169"	"s108"	"s140"	"s93"	"s147"	true
"s173"	"s188"	"s85"	"s58"	"s94"	"s173"	"s182"	"s195"	"s112"	"s146"	"s18"	"s152"	"s172"	"s105"	"s66"	"s133"	"s161"	"s109"	"s52"	"s175"	"s54"	"s96"	"s35"	"s14"	"s186"	"s93"	"s174"	"s102"	"s192"	"s179"	"s101"	"s89"	"s20"	"s86"	"s123"	"s152"	"s73"	"s116"	"s96"	"s32"	"s59"	"s122"	"s14"	"s185"	"s93"	"s154"	"s106"	"s93"	"s150"	"s98"	true
"s106"	"s196"	"s108"	"s58"	"s187"	"s22"	"s115"	"s63"	"s132"	"s126"	"s5"	"s46"	"s160"	"s136"	"s175"	"s124"	"s155"	"s110"	"s174"	"s81"	"s18"	"s21"	"s52"	"s166"	"s199"	"s110"	"s31"	"s9"	"s91"	"s38"	"s22"	"s66"	"s87"	"s96"	"s36"	"s152"	"s73"	"s116"	"s96"	"s144"	"s7"	"s141"	"s154"	"s192"	"s91"	"s17"	"s122"	"s166"	"s109"	"s80"	true
"s147"	"s164"	"s28"	"s102"	"s77"	"s156"	"s94"	"s149"	"s1"	"s169"	"s79"	"s63"	"s23"	"s79"	"s130"	"s16"	"s122"	"s15"	"s63"	"s6"	"s108"	"s3"	"s105"	"s177"	"s108"	"s171"	"s42"	"s188"	"s105"	"s171"	"s184"	"s33"	"s141"	"s160"	"s1"	"s152"	"s73"	"s116"	"s96"	"s184"	"s45"	"s147"	"s70"	"s76"	"s70"	"s56"	"s174"	"s6"	"s149"	"s158"	true
"s47"	"s182"	"s43"	"s1"	"s86"	"s35"	"s65"	"s12"	"s37"	"s106"	"s62"	"s128"	"s91"	"s188"	"s136"	"s90"	"s126"	"s144"	"s78"	"s162"	"s155"	"s144"	"s77"	"s173"	"s100"	"s68"	"s116"	"s82"	"s11"	"s89"	"s59"	"s94"	"s53"	"s119"	"s26"	"s152"	"s73"	"s116"	"s96"	"s28"	"s191"	"s42"	"s163"	"s54"	"s61"	"s76"	"s43"	"s102"	"s63"	"s57"	true
"s117"	"s27"	"s188"	"s156"	"s7"	"s148"	"s109"	"s63"	"s85"	"s153"	"s25"	"s159"	"s185"	"s114"	"s75"	"s169"	"s97"	"s140"	"s143"	"s115"	"s49"	"s129"	"s20"	"s63"	"s51"	"s80"	"s112"	"s181"	"s195"	"s122"	"s171"	"s22"	"s63"	"s168"	"s159"	"s152"	"s73"	"s116"	"s96"	"s176"	"s182"	"s142"	"s51"	"s54"	"s60"	"s18"	"s78"	"s28"	"s187"	"s103"	true
"s40"	"s160"	"s142"	"s80"	"s121"	"s106"	"s81"	"s156"	"s5"	"s146"	"s3"	"s106"	"s49"	"s137"	"s145"	"s13"	"s30"	"s7"	"s27"	"s29"	"s161"	"s164"	"s114"	"s147"	"s33"	"s28"	"s38"	"s114"	"s47"	"s0"	"s41"	"s118"	"s58"	"s109"	"s141"	"s152"	"s73"	"s116"	"s96"	"s81"	"s99"	"s179"	"s86"	"s189"	"s63"	"s75"	"s85"	"s10"	"s114"	"s88"	true
"s188"	"s10"	"s144"	"s171"	"s140"	"s93"	"s60"	"s175"	"s10"	"s116"	"s151"	"s24"	"s51"	"s80"	"s17"	"s5"	"s107"	"s116"	"s66"	"s185"	"s87"	"s57"	"s179"	"s12"	"s105"	"s184"	"s9"	"s70"	"s165"	"s45"	"s196"	"s169"	"s28"	"s196"	"s157"	"s152"	"s73"	"s116"	"s96"	"s80"	"s54"	"s196"	"s51"	"s181"	"s34"	"s53"	"s25"	"s175"	"s29"	"s177"	true
"s143"	"s124"	"s29"	"s18"	"s54"	"s110"	"s98"	"s114"	"s45"	"s138"	"s173"	"s54"	"s40"	"s99"	"s106"	"s84"	"s44"	"s65"	"s162"	"s160"	"s191"	"s132"	"s37"	"s134"	"s169"	"s34"	"s145"	"s63"	"s197"	"s198"	"s192"	"s16"	"s198"	"s104"	"s24"	"s152"	"s73"	"s116"	"s96"	"s126"	"s27"	"s2"	"s66"	"s0"	"s64"	"s135"	"s121"	"s61"	"s112"	"s36"	true
"s192"	"s148"	"s105"	"s172"	"s133"	"s50"	"s32"	"s172"	"s24"	"s57"	"s70"	"s77"	"s123"	"s152"	"s108"	"s178"	"s105"	"s28"	"s157"	"s27"	"s171"	"s162"	"s181"	"s180"	"s41"	"s157"	"s44"	"s86"	"s181"	"s138"	"s192"	"s99"	"s5"	"s114"	"s24"	"s152"	"s73"	"s116"	"s96"	"s176"	"s185"	"s79"	"s48"	"s139"	"s113"	"s102"	"s98"	"s169"	"s22"	"s15"	true
"s2"	"s195"	"s24"	"s99"	"s28"	"s181"	"s38"	"s36"	"s50"	"s89"	"s126"	"s150"	"s15"	"s34"	"s158"	"s155"	"s154"	"s16"	"s154"	"s117"	"s5"	"s34"	"s171"	"s186"	"s116"	"s80"	"s189"	"s105"	"s119"	"s55"	"s43"	"s180"	"s55"	"s10"	"s57"	"s152"	"s73"	"s116"	"s96"	"s7"	"s152"	"s77"	"s25"	"s57"	"s162"	"s192"	"s101"	"s19"	"s70"	"s5"	true
"s93"	"s3"	"s98"	"s149"	"s121"	"s173"	"s113"	"s67"	"s176"	"s16"	"s185"	"s150"	"s147"	"s140"	"s85"	"s77"	"s36"	"s16"	"s112"	"s145"	"s87"	"s100"	"s23"	"s64"	"s125"	"s160"	"s69"	"s122"	"s25"	"s89"	"s105"	"s113"	"s121"	"s156"	"s144"	"s152"	"s73"	"s116"	"s96"	"s179"	"s63"	"s111"	"s24"	"s154"	"s171"	"s199"	"s54"	"s7"	"s117"	"s14"	true
"s177"	"s170"	"s13"	"s142"	"s17"	"s95"	"s16"	"s150"	"s32"	"s170"	"s113"	"s66"	"s47"	"s177"	"s146"	"s34"	"s82"	"s66"	"s184"	"s140"	"s114"	"s102"	"s99"	"s172"	"s156"	"s169"	"s133"	"s170"	"s31"	"s29"	"s100"	"s144"	"s151"	"s22"	"s165"	"s152"	"s73"	"s116"	"s96"	"s124"	"s73"	"s23"	"s173"	"s140"	"s133"	"s150"	"s52"	"s178"	"s167"	"s22"	true
"s165"	"s112"	"s108"	"s118"	"s130"	"s113"	"s192"	"s186"	"s164"	"s118"	"s186"	"s119"	"s190"	"s136"	"s42"	"s50"	"s80"	"s150"	"s153"	"s80"	"s39"	"s51"	"s54"	"s69"	"s53"	"s54"	"s2"	"s136"	"s186"	"s155"	"s6"	"s172"	"s23"	"s29"	"s143"	"s152"	"s73"	"s116"	"s96"	"s78"	"s21"	"s63"	"s131"	"s36"	"s113"	"s83"	"s14"	"s149"	"s164"	"s9"	true
"s4"	"s188"	"s120"	"s165"	"s184"	"s40"	"s175"	"s98"	"s146"	"s138"	"s57"	"s72"	"s131"	"s179"	"s67"	"s16"	"s78"	"s133"	"s19"	"s149"	"s94"	"s134"	"s114"	"s150"	"s100"	"s82"	"s102"	"s73"	"s16"	"s107"	"s101"	"s8"	"s118"	"s129"	"s155"	"s152"	"s73"	"s116"	"s96"	"s11"	"s84"	"s17"	"s70"	"s57"	"s117"	"s18"	"s181"	"s110"	"s53"	"s149"	true
"s98"	"s177"	"s4"	"s44"	"s31"	"s12"	"s169"	"s64"	"s139"	"s73"	"s40"	"s18"	"s197"	"s73"	"s89"	"s136"	"s59"	"s34"	"s183"	"s106"	"s90"	"s63"	"s86"	"s63"	"s85"	"s193"	"s132"	"s81"	"s1"	"s6"	"s61"	"s90"	"s144"	"s77"	"s125"	"s152"	"s73"	"s116"	"s96"	"s47"	"s44"	"s135"	"s26"	"s41"	"s18"	"s115"	"s26"	"s195"	"s77"	"s74"	true
"s50"	"s30"	"s92"	"s7"	"s70"	"s145"	"s41"	"s98"	"s150"	"s114"	"s18"	"s127"	"s102"	"s103"	"s124"	"s11"	"s156"	"s167"	"s0"	"s105"	"s64"	"s128"	"s77"	"s3"	"s167"	"s147"	"s175"	"s142"	"s106"	"s197"	"s120"	"s79"	"s141"	"s142"	"s126"	"s152"	"s73"	"s116"	"s96"	"s44"	"s111"	"s42"	"s102"	"s185"	"s194"	"s115"	"s75"	"s181"	"s191"	"s0"	true
"s11"	"s187"	"s170"	"s192"	"s124"	"s66"	"s181"	"s163"	"s116"	"s117"	"s94"	"s113"	"s8"	"s35"	"s159"	"s3"	"s42"	"s166"	"s91"	"s141"	"s17"	"s121"	"s56"	"s137"	"s162"	"s170"	"s11"	"s194"	"s73"	"s165"	"s98"	"s4"	"s111"	"s3"	"s97"	"s152"	"s73"	"s116"	"s96"	"s174"	"s123"	"s13"	"s102"	"s47"	"s1"	"s156"	"s79"	"s13"	"s166"	"s73"	true
"s34"	"s76"	"s138"	"s84"	"s9"	"s172"	"s196"	"s179"	"s38"	"s119"	"s6"	"s149"	"s134"	"s61"	"s58"	"s97"	"s20"	"s128"	"s87"	"s97"	"s70"	"s164"	"s81"	"s42"	"s192"	"s161"	"s66"	"s101"	"s113"	"s129"	"s199"	"s138"	"s31"	"s54"	"s1"	"s152"	"s73"	"s116"	"s96"	"s93"	"s181"	"s96"	"s167"	"s24"	"s186"	"s49"	"s23"	"s81"	"s33"	"s93"	true
"s174"	"s129"	"s147"	"s193"	"s93"	"s118"	"s158"	"s168"	"s198"	"s191"	"s166"	"s0"	"s135"	"s0"	"s3"	"s121"	"s36"	"s122"	"s103"	"s101"	"s33"	"s153"	"s99"	"s121"	"s168"	"s176"	"s154"	"s151"	"s28"	"s89"	"s107"	"s84"	"s196"	"s143"	"s79"	"s154"	"s191"	"s123"	"s171"	"s80"	"s168"	"s152"	"s157"	"s81"	"s167"	"s165"	"s171"	"s163"	"s89"	"s104"	true
"s111"	"s43"	"s63"	"s68"	"s131"	"s0"	"s15"	"s175"	"s115"	"s23"	"s125"	"s90"	"s147"	"s69"	"s174"	"s25"	"s139"	"s69"	"s139"	"s32"	"s159"	"s128"	"s55"	"s183"	"s187"	"s138"	"s107"	"s128"	"s174"	"s176"	"s86"	"s128"	"s164"	"s44"	"s60"	"s152"	"s73"	"s116"	"s96"	"s22"	"s24"	"s146"	"s2"	"s12"	"s85"	"s164"	"s126"	"s192"	"s109"	"s145"	true
"s91"	"s192"	"s135"	"s179"	"s83"	"s180"	"s176"	"s136"	"s73"	"s109"	"s14"	"s197"	"s199"	"s173"	"s158"	"s21"	"s187"	"s5"	"s26"	"s73"	"s199"	"s155"	"s95"	"s187"	"s122"	"s59"	"s53"	"s20"	"s167"	"s58"	"s118"	"s23"	"s189"	"s108"	"s70"	"s152"	"s73"	"s116"	"s96"	"s164"	"s123"	"s8"	"s54"	"s192"	"s141"	"s123"	"s89"	"s105"	"s161"	"s18"	true
"s50"	"s167"	"s104"	"s143"	"s68"	"s145"	"s34"	"s10"	"s167"	"s193"	"s75"	"s11"	"s49"	"s187"	"s156"	"s65"	"s136"	"s134"	"s168"	"s28"	"s15"	"s109"	"s145"	"s108"	"s153"	"s190"	"s199"	"s141"	"s70"	"s39"	"s135"	"s93"	"s99"	"s18"	"s100"	"s152"	"s73"	"s116"	"s96"	"s21"	"s43"	"s73"	"s148"	"s169"	"s24"	"s112"	"s134"	"s43"	"s192"	"s129"	true
"s162"	"s154"	"s18"	"s189"	"s173"	"s148"	"s156"	"s52"	"s192"	"s18"	"s192"	"s189"	"s180"	"s145"	"s116"	"s191"	"s134"	"s46"	"s129"	"s6"	"s23"	"s108"	"s133"	"s29"	"s150"	"s159"	"s40"	"s163"	"s106"	"s110"	"s33"	"s132"	"s134"	"s171"	"s100"	"s152"	"s73"	"s116"	"s96"	"s1"	"s140"	"s72"	"s196"	"s15"	"s25"	"s10"	"s41"	"s159"	"s41"	"s167"	true
