"Col0"	"Col1"	"Col2"	"Col3"	"Col4"	"Col5"	"Col6"	"Col7"	"Col8"	"Col9"	"Col10"	"Col11"	"Col12"	"Col13"	"Col14"	"Col15"	"Col16"	"Col17"	"Col18"	"Col19"	"Col20"	"Col21"	"Col22"	"Col23"	"Col24"	"Col25"	"Col26"	"Col27"	"Col28"	"Col29"	"Col30"	"Col31"	"Col32"	"Col33"	Class
"s1"	"s0"	"s1.0"	"s0.06655"	"s1.0"	"s-0.18388"	"s1.0"	"s-0.2732"	"s1.0"	"s-0.43107"	"s1.0"	"s-0.41349"	"s0.96232"	"s-0.51874"	"s0.90711"	"s-0.59017"	"s0.8923"	"s-0.66474"	"s0.69876"	"s-0.70997"	"s0.70645"	"s-0.7632"	"s0.63081"	"s-0.80544"	"s0.55867"	"s-0.89128"	"s0.47211"	"s-0.865"	"s0.40303"	"s-0.83675"	"s0.30996"	"s-0.89093"	"s0.22995"	"s-0.89158"	true
"s1"	"s0"	"s1.0"	"s-0.5421"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.36217"	"s1.0"	"s-0.41119"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-0.29354"	"s1.0"	"s-0.93599"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-0.40888"	"s1.0"	"s-0.62745"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s-0.16316"	"s1.0"	"s-0.10169"	"s0.99999"	"s-0.15197"	"s1.0"	"s-0.19277"	"s0.94055"	"s-0.35151"	"s0.95735"	"s-0.29785"	"s0.93719"	"s-0.34412"	"s0.94486"	"s-0.28106"	"s0.90137"	"s-0.43383"	"s0.86043"	"s-0.47308"	"s0.82987"	"s-0.5122"	"s0.8408"	"s-0.47137"	"s0.76224"	"s-0.5837"	"s0.65723"	"s-0.68794"	"s0.68714"	"s-0.64537"	"s0.64727"	"s-0.67226"	true
"s1"	"s0"	"s1.0"	"s-0.86701"	"s1.0"	"s0.2228"	"s0.85492"	"s-0.39896"	"s1.0"	"s-0.1209"	"s1.0"	"s0.35147"	"s1.0"	"s0.07772"	"s1.0"	"s-0.14767"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.61831"	"s0.15803"	"s1.0"	"s0.62349"	"s1.0"	"s-0.17012"	"s1.0"	"s0.35924"	"s1.0"	"s-0.66494"	"s1.0"	"s0.88428"	"s1.0"	"s-0.18826"	false
"s1"	"s0"	"s1.0"	"s0.0738"	"s1.0"	"s0.0342"	"s1.0"	"s-0.05563"	"s1.0"	"s0.08764"	"s1.0"	"s0.19651"	"s1.0"	"s0.20328"	"s1.0"	"s0.12785"	"s1.0"	"s0.10561"	"s1.0"	"s0.27087"	"s1.0"	"s0.44758"	"s1.0"	"s0.4175"	"s1.0"	"s0.20033"	"s1.0"	"s0.36743"	"s0.95603"	"s0.48641"	"s1.0"	"s0.32492"	"s1.0"	"s0.46712"	true
"s1"	"s0"	"s0.50932"	"s-0.93996"	"s1.0"	"s0.26708"	"s-0.0352"	"s-1.0"	"s1.0"	"s-1.0"	"s0.43685"	"s-1.0"	"s0.0"	"s0.0"	"s-1.0"	"s-0.34265"	"s-0.37681"	"s0.03623"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-0.16253"	"s0.92236"	"s0.39752"	"s0.26501"	"s0.0"	"s0.0"	"s1.0"	"s0.23188"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.99645"	"s0.06468"	"s1.0"	"s-0.01236"	"s0.97811"	"s0.02498"	"s0.96112"	"s0.02312"	"s0.99274"	"s0.07808"	"s0.89323"	"s0.10346"	"s0.94212"	"s0.05269"	"s0.88809"	"s0.1112"	"s0.86104"	"s0.08631"	"s0.81633"	"s0.1183"	"s0.83668"	"s0.14442"	"s0.81329"	"s0.13412"	"s0.79476"	"s0.13638"	"s0.7911"	"s0.15379"	"s0.77122"	"s0.1593"	"s0.70941"	"s0.12015"	true
"s0"	"s0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s0.67065"	"s0.02528"	"s0.66626"	"s0.05031"	"s0.57197"	"s0.18761"	"s0.08776"	"s0.34081"	"s0.63621"	"s0.12131"	"s0.62099"	"s0.14285"	"s0.78637"	"s0.10976"	"s0.58373"	"s0.18151"	"s0.14395"	"s0.41224"	"s0.53888"	"s0.21326"	"s0.5142"	"s0.22625"	"s0.48838"	"s0.23724"	"s0.46167"	"s0.24618"	"s0.43433"	"s0.25306"	"s0.40663"	"s0.25792"	"s1.0"	"s0.33036"	true
"s0"	"s0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-0.71875"	"s1.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.5625"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s-0.00612"	"s1.0"	"s-0.09834"	"s1.0"	"s-0.07649"	"s1.0"	"s-0.10605"	"s1.0"	"s-0.11073"	"s1.0"	"s-0.39489"	"s1.0"	"s-0.15616"	"s0.92124"	"s-0.31884"	"s0.86473"	"s-0.34534"	"s0.91693"	"s-0.44072"	"s0.9606"	"s-0.46866"	"s0.81874"	"s-0.40372"	"s0.82681"	"s-0.42231"	"s0.75784"	"s-0.38231"	"s0.80448"	"s-0.40575"	"s0.74354"	"s-0.45039"	true
"s0"	"s0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	false
"s1"	"s0"	"s0.96071"	"s0.07088"	"s1.0"	"s0.04296"	"s1.0"	"s0.09313"	"s0.90169"	"s-0.05144"	"s0.89263"	"s0.0258"	"s0.8325"	"s-0.06142"	"s0.87534"	"s0.09831"	"s0.76544"	"s0.0028"	"s0.75206"	"s-0.05295"	"s0.65961"	"s-0.07905"	"s0.64158"	"s-0.05929"	"s0.55677"	"s-0.07705"	"s0.58051"	"s-0.02205"	"s0.49664"	"s-0.01251"	"s0.5131"	"s-1.5E-4"	"s0.52099"	"s-0.00182"	true
"s0"	"s0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s-0.06182"	"s1.0"	"s0.02942"	"s1.0"	"s-0.05131"	"s1.0"	"s-0.01707"	"s1.0"	"s-0.11726"	"s0.84493"	"s-0.05202"	"s0.93392"	"s-0.06598"	"s0.6917"	"s-0.07379"	"s0.65731"	"s-0.20367"	"s0.9491"	"s-0.31558"	"s0.80852"	"s-0.31654"	"s0.84932"	"s-0.34838"	"s0.72529"	"s-0.29174"	"s0.73094"	"s-0.38576"	"s0.54356"	"s-0.26284"	"s0.64207"	"s-0.39487"	true
"s1"	"s0"	"s1.0"	"s0.5782"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-0.62796"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s-0.08714"	"s1.0"	"s-0.17263"	"s0.86635"	"s-0.81779"	"s0.94817"	"s0.61053"	"s0.95473"	"s-0.41382"	"s0.88486"	"s-0.31736"	"s0.87937"	"s-0.23433"	"s0.81051"	"s-0.6218"	"s0.12245"	"s-1.0"	"s0.90284"	"s0.11053"	"s0.62357"	"s-0.78547"	"s0.55389"	"s-0.82868"	"s0.48136"	"s-0.86583"	"s0.4065"	"s-0.89674"	"s0.32984"	"s-0.92128"	"s-0.13341"	"s-1.0"	true
"s0"	"s0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s-0.375"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s0.0838"	"s1.0"	"s0.17387"	"s1.0"	"s-0.13308"	"s0.98172"	"s0.6452"	"s1.0"	"s0.47904"	"s1.0"	"s0.59113"	"s1.0"	"s0.70758"	"s1.0"	"s0.82777"	"s1.0"	"s0.95099"	"s1.0"	"s1.0"	"s0.98042"	"s1.0"	"s0.91624"	"s1.0"	"s0.83899"	"s1.0"	"s0.74822"	"s1.0"	"s0.64358"	"s1.0"	"s0.52479"	"s1.0"	true
"s0"	"s0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s-0.14236"	"s1.0"	"s-0.16256"	"s1.0"	"s-0.23656"	"s1.0"	"s-0.07514"	"s1.0"	"s-0.2501"	"s1.0"	"s-0.26161"	"s1.0"	"s-0.21975"	"s1.0"	"s-0.38606"	"s1.0"	"s-0.46162"	"s1.0"	"s-0.35519"	"s1.0"	"s-0.59661"	"s1.0"	"s-0.47643"	"s0.9882"	"s-0.49687"	"s1.0"	"s-0.7582"	"s1.0"	"s-0.75761"	"s1.0"	"s-0.84437"	true
"s1"	"s0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-0.0184"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-0.85583"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s1.0"	"s-0.79141"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	false
"s1"	"s0"	"s0.88208"	"s-0.14639"	"s0.93408"	"s-0.11057"	"s0.921"	"s-0.1645"	"s0.88307"	"s-0.17036"	"s0.88462"	"s-0.31809"	"s0.85269"	"s-0.31463"	"s0.82116"	"s-0.35924"	"s0.80681"	"s-0.33632"	"s0.75243"	"s-0.47022"	"s0.70555"	"s-0.47153"	"s0.6615"	"s-0.50085"	"s0.61297"	"s-0.48086"	"s0.56804"	"s-0.54629"	"s0.50179"	"s-0.59854"	"s0.47075"	"s-0.57377"	"s0.42189"	"s-0.58086"	true
"s1"	"s0"	"s0.71253"	"s-0.02595"	"s0.41287"	"s-0.23067"	"s0.98019"	"s-0.09473"	"s0.99709"	"s-0.10236"	"s1.0"	"s-0.10951"	"s0.58965"	"s1.0"	"s0.83726"	"s-1.0"	"s0.8227"	"s-0.17863"	"s0.8076"	"s-0.28257"	"s-0.25914"	"s0.9273"	"s0.51933"	"s0.05456"	"s0.65493"	"s-0.20392"	"s0.93124"	"s-0.41307"	"s0.63811"	"s-0.21901"	"s0.86136"	"s-0.87354"	"s-0.23186"	"s-1.0"	false
"s1"	"s0"	"s1.0"	"s-0.15899"	"s0.72314"	"s0.27686"	"s0.83443"	"s-0.58388"	"s1.0"	"s-0.28207"	"s1.0"	"s-0.49863"	"s0.79962"	"s-0.12527"	"s0.76837"	"s0.14638"	"s1.0"	"s0.39337"	"s1.0"	"s0.2659"	"s0.96354"	"s-0.01891"	"s0.92599"	"s-0.91338"	"s1.0"	"s0.14803"	"s1.0"	"s-0.11582"	"s1.0"	"s-0.11129"	"s1.0"	"s0.53372"	"s1.0"	"s-0.57758"	true
"s1"	"s0"	"s0.66161"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-0.67321"	"s0.80893"	"s-0.40446"	"s1.0"	"s-1.0"	"s1.0"	"s-0.89375"	"s1.0"	"s0.73393"	"s0.17589"	"s0.70982"	"s1.0"	"s0.78036"	"s1.0"	"s0.85268"	"s1.0"	"s-1.0"	"s1.0"	"s0.85357"	"s1.0"	"s-0.08571"	"s0.95982"	"s-0.3625"	"s1.0"	"s0.65268"	"s1.0"	"s0.34732"	false
"s1"	"s0"	"s1.0"	"s0.00433"	"s1.0"	"s-0.01209"	"s1.0"	"s-0.0296"	"s1.0"	"s-0.07014"	"s0.97839"	"s-0.06256"	"s1.0"	"s-0.06544"	"s0.97261"	"s-0.07917"	"s0.92561"	"s-0.13665"	"s0.94184"	"s-0.14327"	"s0.99589"	"s-0.14248"	"s0.94815"	"s-0.13565"	"s0.89469"	"s-0.20851"	"s0.89067"	"s-0.17909"	"s0.85644"	"s-0.18552"	"s0.83777"	"s-0.20101"	"s0.83867"	"s-0.20766"	true
"s0"	"s0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.91241"	"s0.04347"	"s0.94191"	"s0.0228"	"s0.94705"	"s0.05345"	"s0.93582"	"s0.01321"	"s0.91911"	"s0.06348"	"s0.92766"	"s0.12067"	"s0.92048"	"s0.06211"	"s0.88899"	"s0.12722"	"s0.83744"	"s0.14439"	"s0.80983"	"s0.11849"	"s0.77041"	"s0.14222"	"s0.75755"	"s0.11299"	"s0.7355"	"s0.13282"	"s0.66387"	"s0.153"	"s0.70925"	"s0.10754"	"s0.65258"	"s0.11447"	true
"s1"	"s0"	"s1.0"	"s0.02461"	"s0.99672"	"s0.04861"	"s0.97545"	"s0.07143"	"s0.61745"	"s-1.0"	"s0.91036"	"s0.11147"	"s0.88462"	"s0.5364"	"s0.82077"	"s0.14137"	"s0.76929"	"s0.15189"	"s1.0"	"s0.41003"	"s0.6585"	"s0.16371"	"s0.60138"	"s0.16516"	"s0.54446"	"s0.1639"	"s0.48867"	"s0.16019"	"s0.43481"	"s0.15436"	"s0.38352"	"s0.14677"	"s1.0"	"s1.0"	false
"s1"	"s0"	"s1.0"	"s0.06538"	"s1.0"	"s0.20746"	"s1.0"	"s0.26281"	"s0.93051"	"s0.32213"	"s0.86773"	"s0.39039"	"s0.75474"	"s0.50082"	"s0.79555"	"s0.52321"	"s0.65954"	"s0.60756"	"s0.57619"	"s0.62999"	"s0.47807"	"s0.67135"	"s0.40553"	"s0.6884"	"s0.34384"	"s0.72082"	"s0.27712"	"s0.72386"	"s0.19296"	"s0.70682"	"s0.11372"	"s0.72688"	"s0.0699"	"s0.71444"	true
"s1"	"s0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s-0.14375"	"s0.0"	"s0.0"	"s-1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.17917"	"s-1.0"	"s-1.0"	"s-1.0"	"s0.0875"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.90932"	"s0.08791"	"s0.86528"	"s0.16888"	"s1.0"	"s0.16598"	"s0.55187"	"s0.68154"	"s0.70207"	"s0.36719"	"s0.16286"	"s0.42739"	"s0.5762"	"s0.46086"	"s0.51067"	"s0.49618"	"s0.31639"	"s0.12967"	"s0.37824"	"s0.54462"	"s0.31274"	"s0.55826"	"s0.24856"	"s0.56527"	"s0.18626"	"s0.56605"	"s0.12635"	"s0.56101"	"s0.06927"	"s0.55061"	"s0.12137"	"s0.67739"	true
"s1"	"s0"	"s-0.64286"	"s-1.0"	"s1.0"	"s0.82857"	"s1.0"	"s-1.0"	"s1.0"	"s-0.23393"	"s1.0"	"s0.96161"	"s1.0"	"s-0.37679"	"s1.0"	"s-1.0"	"s1.0"	"s0.13839"	"s1.0"	"s-1.0"	"s1.0"	"s-0.03393"	"s-0.84286"	"s1.0"	"s0.5375"	"s0.85714"	"s1.0"	"s1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	"s1.0"	"s-1.0"	false
"s1"	"s0"	"s0.99025"	"s-0.05785"	"s0.99793"	"s-0.13009"	"s0.98663"	"s-0.1943"	"s0.99374"	"s-0.25843"	"s0.92738"	"s-0.3013"	"s0.92651"	"s-0.37965"	"s0.89812"	"s-0.43796"	"s0.84922"	"s-0.52064"	"s0.87433"	"s-0.57075"	"s0.79016"	"s-0.59839"	"s0.74725"	"s-0.64615"	"s0.68282"	"s-0.68479"	"s0.65247"	"s-0.73174"	"s0.6101"	"s-0.75353"	"s0.54752"	"s-0.80278"	"s0.49195"	"s-0.83245"	true
"s0"	"s0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s1.0"	"s1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-0.375"	"s-1.0"	"s-1.0"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s-1.0"	"s1.0"	"s1.0"	"s0.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s1.0"	"s-0.0373"	"s1.0"	"s-0.07383"	"s0.99601"	"s-0.11039"	"s0.99838"	"s-0.09931"	"s0.98941"	"s-0.13814"	"s0.96674"	"s-0.21695"	"s0.95288"	"s-0.25099"	"s0.91236"	"s-0.344"	"s0.90581"	"s-0.32152"	"s0.89991"	"s-0.34691"	"s0.87874"	"s-0.37643"	"s0.86213"	"s-0.4299"	"s0.83172"	"s-0.43122"	"s0.81433"	"s-0.42593"	"s0.77919"	"s-0.47977"	"s0.75115"	"s-0.50152"	true
"s1"	"s0"	"s0.94598"	"s-0.02685"	"s-1.0"	"s0.26131"	"s-0.36393"	"s0.35639"	"s0.69258"	"s-0.63427"	"s1.0"	"s-0.03353"	"s-0.2902"	"s-0.0055"	"s-0.54852"	"s0.15452"	"s0.91921"	"s-0.4627"	"s1.0"	"s-0.50424"	"s-0.29735"	"s-0.31454"	"s-0.73864"	"s0.37361"	"s0.83872"	"s-0.46734"	"s0.52208"	"s-0.5813"	"s1.0"	"s-0.61393"	"s-0.09634"	"s0.20477"	"s-0.06117"	"s0.41913"	false
"s1"	"s0"	"s0.98166"	"s0.00874"	"s0.98103"	"s-0.03818"	"s0.97565"	"s-0.05699"	"s0.95947"	"s-0.06971"	"s0.99004"	"s-0.04507"	"s0.94713"	"s-0.11102"	"s0.93369"	"s-0.1279"	"s0.94217"	"s-0.11583"	"s0.79682"	"s-0.192"	"s0.88274"	"s-0.17387"	"s0.86257"	"s-0.18739"	"s0.88487"	"s-0.19689"	"s0.81813"	"s-0.21136"	"s0.78546"	"s-0.23864"	"s0.76911"	"s-0.23095"	"s0.74323"	"s-0.23902"	true
"s1"	"s0"	"s0.0"	"s0.0"	"s1.0"	"s0.51724"	"s0.0"	"s0.0"	"s0.10991"	"s-1.0"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	"s-1.0"	"s-0.22414"	"s-0.55711"	"s-0.83297"	"s0.7694"	"s0.63147"	"s0.0"	"s0.0"	"s0.53448"	"s0.35668"	"s-0.90302"	"s0.44828"	"s1.0"	"s-1.0"	"s-1.0"	"s0.81573"	"s0.0"	"s0.0"	"s0.0"	"s0.0"	false
"s1"	"s0"	"s0.84134"	"s-0.18362"	"s0.43644"	"s0.02919"	"s0.93421"	"s-0.00267"	"s0.87947"	"s0.13795"	"s0.81121"	"s-0.01789"	"s0.88559"	"s0.54991"	"s0.91714"	"s-0.57486"	"s0.75"	"s-0.2952"	"s0.86676"	"s-0.20104"	"s1.0"	"s1.0"	"s0.4661"	"s-0.1629"	"s0.90066"	"s-0.02778"	"s0.93358"	"s-0.01158"	"s0.61582"	"s-0.32298"	"s0.84463"	"s-0.25706"	"s0.93323"	"s-0.01425"	true
