att0	att1	att2	att3	att4	att5	att6	att7	att8	att9	att10	att11	att12	att13	att14	att15	att16	att17	att18	att19	att20	att21	att22	att23	att24	att25	att26	att27	att28	att29	att30	att31	att32	att33	att34	att35	att36	att37	att38	att39	att40	att41	att42	att43	att44	att45	att46	att47	att48	att49	Class
"s13"	"s9"	"s5"	"s7"	"s48"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s39"	"s27"	"s33"	true
"s7"	"s39"	"s22"	"s43"	"s42"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s8"	"s39"	"s34"	true
"s14"	"s6"	"s7"	"s25"	"s19"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s5"	"s18"	"s26"	true
"s40"	"s12"	"s36"	"s47"	"s35"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s17"	"s4"	"s14"	true
"s27"	"s29"	"s13"	"s25"	"s37"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s23"	"s11"	"s35"	true
"s21"	"s25"	"s17"	"s46"	"s8"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s29"	"s35"	"s16"	true
"s29"	"s26"	"s26"	"s10"	"s33"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s9"	"s15"	"s14"	true
"s17"	"s34"	"s41"	"s46"	"s26"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s49"	"s39"	"s9"	true
"s5"	"s25"	"s10"	"s12"	"s45"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s16"	"s27"	"s18"	true
"s41"	"s12"	"s39"	"s5"	"s10"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s38"	"s32"	"s15"	true
"s2"	"s41"	"s31"	"s40"	"s30"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s33"	"s12"	"s12"	true
"s47"	"s42"	"s37"	"s1"	"s37"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s19"	"s24"	"s46"	true
"s38"	"s24"	"s28"	"s4"	"s6"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s44"	"s46"	"s30"	true
"s16"	"s26"	"s45"	"s31"	"s45"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s10"	"s46"	"s47"	true
"s27"	"s29"	"s24"	"s44"	"s46"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s43"	"s25"	"s30"	true
"s10"	"s17"	"s31"	"s14"	"s23"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s2"	"s43"	"s17"	true
"s5"	"s15"	"s39"	"s11"	"s30"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s41"	"s7"	"s26"	true
"s0"	"s5"	"s48"	"s17"	"s0"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s18"	"s36"	"s49"	true
"s34"	"s4"	"s4"	"s9"	"s22"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s28"	"s25"	"s21"	true
"s20"	"s40"	"s4"	"s11"	"s48"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s20"	"s19"	"s2"	true
"s19"	"s39"	"s43"	"s6"	"s12"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s6"	"s0"	"s27"	true
"s14"	"s27"	"s10"	"s23"	"s48"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s21"	"s49"	"s40"	true
"s40"	"s32"	"s36"	"s33"	"s19"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s10"	"s8"	"s23"	true
"s37"	"s43"	"s12"	"s35"	"s21"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s15"	"s26"	"s32"	true
"s24"	"s15"	"s48"	"s1"	"s12"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s36"	"s32"	"s19"	true
"s13"	"s47"	"s1"	"s32"	"s22"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s39"	"s15"	"s37"	true
"s24"	"s9"	"s28"	"s3"	"s47"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s44"	"s33"	"s38"	true
"s27"	"s24"	"s25"	"s18"	"s28"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s34"	"s47"	"s8"	true
"s27"	"s22"	"s39"	"s37"	"s8"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s45"	"s11"	"s6"	true
"s35"	"s47"	"s37"	"s44"	"s16"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s9"	"s45"	"s0"	true
"s13"	"s31"	"s10"	"s4"	"s30"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s44"	"s49"	"s49"	true
"s48"	"s34"	"s34"	"s33"	"s4"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s22"	"s8"	"s23"	true
"s38"	"s24"	"s41"	"s49"	"s47"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s22"	"s3"	"s6"	true
"s34"	"s30"	"s6"	"s5"	"s48"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s0"	"s28"	"s19"	true
"s48"	"s37"	"s46"	"s23"	"s40"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s44"	"s1"	"s45"	true
"s33"	"s29"	"s42"	"s37"	"s2"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s47"	"s2"	"s1"	true
"s15"	"s45"	"s26"	"s42"	"s34"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s26"	"s45"	"s41"	true
"s43"	"s14"	"s0"	"s24"	"s45"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s17"	"s37"	"s33"	true
"s13"	"s19"	"s23"	"s32"	"s43"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s42"	"s42"	"s40"	true
"s33"	"s7"	"s38"	"s39"	"s2"	"s8"	"s4"	"s25"	"s42"	"s13"	"s42"	"s17"	"s27"	"s28"	"s22"	"s40"	"s22"	"s30"	"s40"	"s24"	"s27"	"s41"	"s15"	"s3"	"s35"	"s16"	"s17"	"s1"	"s43"	"s29"	"s48"	"s31"	"s21"	"s9"	"s46"	"s40"	"s45"	"s26"	"s42"	"s6"	"s49"	"s42"	"s10"	"s13"	"s24"	"s4"	"s20"	"s16"	"s32"	"s40"	true
