cap-shape	cap-surface	cap-color	bruises?	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring		stalk-color-above-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat	Class
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sf"	"sf"	"sn"	"sf"	"sn"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"su"	false
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sw"	"sn"	"sn"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"sb"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"su"	true
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sn"	"st"	"sl"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"sp"	false
"sb"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sx"	"sf"	"sy"	"st"	"sl"	"sf"	"sw"	"sn"	"sw"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"ss"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sv"	"su"	false
"sx"	"sy"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sw"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"su"	true
"sx"	"sf"	"sy"	"st"	"sa"	"sf"	"sw"	"sn"	"sp"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"sb"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sb"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"sp"	false
"sx"	"sf"	"sn"	"sf"	"sn"	"sf"	"sc"	"sn"	"sg"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"su"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sp"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sg"	true
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sx"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sp"	false
"sf"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sp"	false
"sx"	"sy"	"sn"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sx"	"sy"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	true
"sx"	"ss"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sv"	"su"	true
"sb"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sf"	"sf"	"sg"	"sf"	"sn"	"sf"	"sw"	"sb"	"sn"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"sa"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sg"	false
"sx"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"sx"	"sy"	"sn"	"st"	"sa"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"sp"	false
"ss"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	false
"sb"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sb"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sb"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sb"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sf"	"ss"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sk"	"sa"	"sg"	false
"sx"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sf"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"sx"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sp"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	false
"sf"	"sf"	"sy"	"st"	"sl"	"sf"	"sw"	"sn"	"sp"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"sb"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sf"	"sf"	"sy"	"st"	"sl"	"sf"	"sw"	"sn"	"sw"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"sx"	"sy"	"sn"	"st"	"sa"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sp"	false
"sb"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sf"	"ss"	"sy"	"st"	"sl"	"sf"	"sw"	"sn"	"sp"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"sd"	false
"sx"	"ss"	"sw"	"st"	"sl"	"sf"	"sw"	"sn"	"sn"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"su"	"sv"	"sd"	false
"sf"	"sy"	"sn"	"st"	"sl"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"sp"	false
"sx"	"sy"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sw"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	true
"sf"	"sy"	"sn"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"sg"	false
"sx"	"ss"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"sf"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sw"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	true
"sf"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"su"	false
"sx"	"sf"	"sg"	"sf"	"sn"	"sf"	"sw"	"sb"	"sn"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"ss"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sk"	"ss"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sf"	"sy"	"sn"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"sg"	false
"ss"	"sf"	"sn"	"sf"	"sn"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	false
"sx"	"sf"	"sn"	"sf"	"sn"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"su"	false
"sb"	"ss"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sx"	"ss"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sn"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"sa"	"sg"	false
"sx"	"ss"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sf"	"sy"	"sn"	"st"	"sl"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"sb"	"ss"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sg"	false
"sx"	"sf"	"sn"	"sf"	"sn"	"sf"	"sw"	"sb"	"sp"	"st"	"se"	"sf"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sk"	"ss"	"sg"	false
"sb"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"sf"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"sp"	false
"sb"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sg"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sx"	"sy"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"sg"	false
"sb"	"sy"	"sw"	"st"	"sl"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"ss"	"sm"	false
"sb"	"sy"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sk"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sx"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sg"	false
"ss"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sg"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"su"	false
"sx"	"sf"	"sw"	"st"	"sa"	"sf"	"sw"	"sn"	"sw"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"su"	"sv"	"sd"	false
"sx"	"ss"	"sy"	"st"	"sa"	"sf"	"sc"	"sb"	"sn"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sn"	"sm"	false
"sx"	"sy"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sn"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sv"	"su"	true
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sp"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sg"	false
"ss"	"sf"	"sg"	"sf"	"sn"	"sf"	"sc"	"sn"	"sp"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"su"	false
"sx"	"sy"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sw"	"se"	"sr"	"ss"	"sy"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sy"	"sg"	false
"sx"	"ss"	"sy"	"st"	"sl"	"sf"	"sw"	"sn"	"sp"	"st"	"sb"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"su"	"sv"	"sd"	false
"ss"	"sf"	"sn"	"sf"	"sn"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sy"	"su"	false
"sx"	"ss"	"sw"	"st"	"sp"	"sf"	"sc"	"sn"	"sk"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sv"	"sg"	true
"sx"	"sy"	"sw"	"st"	"sa"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"sn"	"sm"	false
"sf"	"sy"	"sn"	"st"	"sp"	"sf"	"sc"	"sn"	"sp"	"se"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sk"	"sv"	"sg"	true
"sf"	"ss"	"sg"	"sf"	"sn"	"sf"	"sw"	"sb"	"sk"	"st"	"se"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sn"	"sa"	"sg"	false
"sx"	"ss"	"sy"	"st"	"sl"	"sf"	"sc"	"sb"	"sg"	"se"	"sc"	"ss"	"ss"	"sw"	"sw"	"sp"	"sw"	"so"	"sp"	"sn"	"ss"	"sm"	false
"sx"	"ss"	"sw"	"sf"	"sn"	"sf"	"sw"	"sb"	"sn"	"st"	"se"	"ss"	"sf"	"sw"	"sw"	"sp"	"sw"	"so"	"se"	"sk"	"ss"	"sg"	false
