cap-shape	cap-surface	cap-color	bruises?	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring		stalk-color-above-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat	class
x	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	y	u	false
x	s	y	t	a	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d	false
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	s	u	true
x	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	y	p	false
b	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	false
x	f	y	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	false
x	y	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	s	u	true
x	f	y	t	a	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	false
b	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	y	p	false
x	f	n	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	y	u	false
x	y	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	g	true
x	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	y	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	false
x	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	s	p	false
f	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	p	false
x	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	g	false
x	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	false
b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	true
x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	true
b	y	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	m	false
f	f	g	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	a	g	false
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	y	n	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	y	p	false
s	f	g	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	false
b	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
f	s	n	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	k	a	g	false
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	g	false
f	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	g	false
x	y	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	u	false
f	f	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	false
b	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	f	y	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	n	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	s	p	false
b	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	false
f	s	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	s	w	t	l	f	w	n	n	t	b	s	s	w	w	p	w	o	p	u	v	d	false
f	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	y	p	false
x	y	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	v	u	true
f	y	n	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	y	g	false
x	s	n	f	n	f	w	b	k	t	e	f	s	w	w	p	w	o	e	n	s	g	false
x	y	w	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	k	s	g	true
f	f	g	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	y	u	false
x	f	g	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	s	g	false
x	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	g	false
x	s	n	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	k	s	g	false
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
f	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	g	false
s	f	n	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	u	false
x	f	n	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	y	u	false
b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	s	n	f	n	f	w	b	n	t	e	s	s	w	w	p	w	o	e	n	a	g	false
x	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	false
f	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	g	false
x	s	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	false
b	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	f	n	f	n	f	w	b	p	t	e	f	s	w	w	p	w	o	e	k	s	g	false
b	s	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	false
f	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	g	false
x	y	y	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	y	p	false
b	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	y	g	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
x	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	s	y	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	g	false
s	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	y	u	false
x	f	w	t	a	f	w	n	w	t	b	s	s	w	w	p	w	o	p	u	v	d	false
x	s	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	y	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	u	true
x	y	y	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	g	false
s	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	y	u	false
x	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	g	false
x	s	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	u	v	d	false
s	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	y	u	false
x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	g	true
x	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	y	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	g	true
f	s	g	f	n	f	w	b	k	t	e	s	s	w	w	p	w	o	e	n	a	g	false
x	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
x	s	w	f	n	f	w	b	n	t	e	s	f	w	w	p	w	o	e	k	s	g	false
b	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g	false
f	f	g	f	n	f	w	b	h	t	e	s	s	w	w	p	w	o	e	n	a	g	false
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	false
b	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
b	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	s	w	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	u	v	d	false
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
f	s	w	t	a	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	w	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	v	u	true
f	f	w	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	s	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	g	true
b	s	y	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	p	false
b	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	false
s	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	false
f	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	p	false
x	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	f	g	f	n	f	w	b	k	t	e	f	f	w	w	p	w	o	e	k	s	g	false
f	f	w	f	n	f	w	b	k	t	e	s	f	w	w	p	w	o	e	n	a	g	false
x	y	y	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
b	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	g	false
b	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	s	n	f	n	f	w	b	p	t	e	f	s	w	w	p	w	o	e	n	a	g	false
x	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	false
s	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	false
x	s	w	t	a	f	w	n	w	t	b	s	s	w	w	p	w	o	p	u	v	d	false
x	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	s	g	false
b	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	g	false
b	y	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	false
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	y	u	false
f	y	n	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	y	g	false
x	y	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	g	false
f	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	y	p	false
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	m	false
x	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	g	false
b	s	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	n	y	u	false
b	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	f	y	t	l	f	w	n	n	t	b	s	s	w	w	p	w	o	p	u	v	d	false
b	y	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
f	y	y	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	g	false
b	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	m	false
b	y	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	n	m	false
b	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	u	true
s	f	n	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	n	y	u	false
f	f	n	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	v	u	false
x	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	y	n	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	s	p	false
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	g	true
b	s	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	u	false
b	y	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	y	p	false
x	f	w	f	n	f	w	b	p	t	e	s	f	w	w	p	w	o	e	k	s	g	false
x	s	w	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
b	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	s	y	t	a	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	n	y	u	false
b	s	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	s	w	t	a	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	y	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
b	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	f	w	f	n	f	w	b	h	t	e	f	s	w	w	p	w	o	e	k	s	g	false
f	y	n	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	y	p	false
x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	true
b	s	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	false
b	s	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	false
b	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	g	false
x	s	y	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
b	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	f	y	t	a	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	f	g	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	y	u	false
f	y	y	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	s	g	false
b	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	m	false
x	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
s	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	u	false
x	s	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	g	true
x	y	y	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	s	g	false
f	f	w	t	a	f	w	n	p	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	u	true
b	s	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	f	g	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	y	u	false
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	u	true
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	y	p	false
f	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u	false
b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	f	w	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	n	v	d	false
x	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
b	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	y	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	s	g	false
f	y	y	t	a	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	s	p	false
f	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	p	false
x	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	s	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	v	u	true
f	f	w	t	a	f	w	n	p	t	b	s	s	w	w	p	w	o	p	u	v	d	false
x	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	s	w	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	u	v	d	false
x	y	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	false
f	y	y	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	p	false
x	s	n	f	n	f	w	b	p	t	e	f	s	w	w	p	w	o	e	k	s	g	false
f	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	y	g	false
x	s	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	s	g	true
s	f	n	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	n	v	u	false
b	y	y	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g	false
b	y	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	v	u	false
x	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	n	m	false
b	y	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	g	false
b	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	g	false
x	y	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	g	true
x	s	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	g	false
x	y	w	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	f	w	t	l	f	w	n	w	t	b	s	s	w	w	p	w	o	p	u	v	d	false
f	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	v	u	false
f	s	g	f	n	f	w	b	p	t	e	s	s	w	w	p	w	o	e	k	a	g	false
x	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	m	false
b	s	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	m	false
f	y	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	k	s	u	true
x	s	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	m	false
f	s	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	k	v	u	true
x	y	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	y	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	y	y	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	s	p	false
x	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	p	false
f	y	n	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	y	g	false
x	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	m	false
f	f	n	f	n	f	w	b	h	t	e	s	s	w	w	p	w	o	e	k	s	g	false
x	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	y	w	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	s	g	true
b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	n	m	false
s	f	n	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	v	u	false
x	s	y	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	w	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	m	false
f	y	n	t	a	f	c	b	n	e	r	s	y	w	w	p	w	o	p	k	s	g	false
b	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	y	n	t	l	f	c	b	n	e	r	s	y	w	w	p	w	o	p	n	y	p	false
f	f	g	f	n	f	c	n	p	e	e	s	s	w	w	p	w	o	p	n	y	u	false
x	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	y	u	false
b	y	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	g	false
x	s	y	t	l	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	y	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	s	g	false
x	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m	false
b	s	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	n	m	false
x	s	y	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m	false
x	f	g	f	n	f	w	b	p	t	e	f	f	w	w	p	w	o	e	k	s	g	false
