NOT-Emotion-Angry-Agressive	Instrument_-_Male_Lead_Vocals	Angry-Agressive	Emotion-Arousing-Awakening	NOT-Emotion-Arousing-Awakening	Emotion-Bizarre-Weird	NOT-Emotion-Bizarre-Weird	Emotion-Calming-Soothing	NOT-Emotion-Calming-Soothing	Emotion-Carefree-Lighthearted	NOT-Emotion-Carefree-Lighthearted	Emotion-Cheerful-Festive	NOT-Emotion-Cheerful-Festive	Emotion-Emotional-Passionate	NOT-Emotion-Emotional-Passionate	Emotion-Exciting-Thrilling	NOT-Emotion-Exciting-Thrilling	Emotion-Happy	NOT-Emotion-Happy	Emotion-Laid-back-Mellow	NOT-Emotion-Laid-back-Mellow	Emotion-Light-Playful	NOT-Emotion-Light-Playful	Emotion-Loving-Romantic	NOT-Emotion-Loving-Romantic	Emotion-Pleasant-Comfortable	NOT-Emotion-Pleasant-Comfortable	Emotion-Positive-Optimistic	NOT-Emotion-Positive-Optimistic	Emotion-Powerful-Strong	NOT-Emotion-Powerful-Strong	Emotion-Sad	NOT-Emotion-Sad	Emotion-Tender-Soft	NOT-Emotion-Tender-Soft	Emotion-Touching-Loving	NOT-Emotion-Touching-Loving	Genre--_Alternative	Genre--_Alternative_Folk	Genre--_Bebop	Genre--_Brit_Pop	Genre--_Classic_Rock	Genre--_Contemporary_Blues	Genre--_Contemporary_RandB	Genre--_Cool_Jazz	Genre--_Country_Blues	Genre--_Dance_Pop	Genre--_Electric_Blues	Genre--_Funk	Genre--_Gospel	Genre--_Metal-Hard_Rock	Genre--_Punk	Genre--_Roots_Rock	Genre--_Singer-Songwriter	Genre--_Soft_Rock	Genre--_Soul	Genre--_Swing	Genre-Bluegrass	Genre-Blues	Genre-Country	Genre-Electronica	Genre-Folk	Genre-Hip_Hop-Rap	Genre-Jazz	Genre-Pop	Genre-RandB	Genre-Rock	Genre-World	Instrument_-_Acoustic_Guitar	Instrument_-_Ambient_Sounds	Instrument_-_Backing_vocals	Instrument_-_Bass	Instrument_-_Drum_Machine	Instrument_-_Drum_Set	Instrument_-_Electric_Guitar_(clean)	Instrument_-_Electric_Guitar_(distorted)	Instrument_-_Female_Lead_Vocals	Instrument_-_Hand_Drums	Instrument_-_Harmonica	Instrument_-_Horn_Section	Instrument_-_Organ	Instrument_-_Piano	Instrument_-_Samples	Instrument_-_Saxophone	Instrument_-_Sequencer	Instrument_-_String_Ensemble	Instrument_-_Synthesizer	Instrument_-_Tambourine	Instrument_-_Trombone	Instrument_-_Trumpet	Instrument_-_Violin-Fiddle	Song-Catchy-Memorable	NOT-Song-Catchy-Memorable	Song-Changing_Energy_Level	NOT-Song-Changing_Energy_Level	Song-Fast_Tempo	NOT-Song-Fast_Tempo	Song-Heavy_Beat	NOT-Song-Heavy_Beat	Song-High_Energy	NOT-Song-High_Energy	Song-Like	NOT-Song-Like	Song-Positive_Feelings	NOT-Song-Positive_Feelings	Song-Quality	NOT-Song-Quality	Song-Recommend	NOT-Song-Recommend	Song-Recorded	NOT-Song-Recorded	Song-Texture_Acoustic	Song-Texture_Electric	Song-Texture_Synthesized	Song-Tonality	NOT-Song-Tonality	Song-Very_Danceable	NOT-Song-Very_Danceable	Usage-At_a_party	Usage-At_work	Usage-Cleaning_the_house	Usage-Driving	Usage-Exercising	Usage-Getting_ready_to_go_out	Usage-Going_to_sleep	Usage-Hanging_with_friends	Usage-Intensely_Listening	Usage-Reading	Usage-Romancing	Usage-Sleeping	Usage-Studying	Usage-Waking_up	Usage-With_the_family	Vocals-Aggressive	Vocals-Altered_with_Effects	Vocals-Breathy	Vocals-Call_and_Response	Vocals-Duet	Vocals-Emotional	Vocals-Falsetto	Vocals-Gravelly	Vocals-High-pitched	Vocals-Low-pitched	Vocals-Monotone	Vocals-Rapping	Vocals-Screaming	Vocals-Spoken	Vocals-Strong	Vocals-Vocal_Harmonies	Genre-Best--_Alternative	Genre-Best--_Classic_Rock	Genre-Best--_Metal-Hard_Rock	Genre-Best--_Punk	Genre-Best--_Soft_Rock	Genre-Best--_Soul	Genre-Best-Blues	Genre-Best-Country	Genre-Best-Electronica	Genre-Best-Folk	Genre-Best-Hip_Hop-Rap	Genre-Best-Jazz	Genre-Best-Pop	Genre-Best-RandB	Genre-Best-Rock	Genre-Best-World	Instrument_-_Acoustic_Guitar-Solo	Instrument_-_Electric_Guitar_(clean)-Solo	Instrument_-_Electric_Guitar_(distorted)-Solo	Instrument_-_Female_Lead_Vocals-Solo	Instrument_-_Harmonica-Solo	Instrument_-_Male_Lead_Vocals-Solo	Instrument_-_Piano-Solo	Instrument_-_Saxophone-Solo	Instrument_-_Trumpet-Solo
0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
