Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Att23	Att24	Att25	Att26	Att27	Att28	Att29	Att30	Att31	Att32	Att33	Att34	Att35	Att36	Att37	Att38	Att39	Att40	Att41	Att42	Att43	Att44	Att45	Att46	Att47	Att48	Att49	Att50	Att51	Att52	Att53	Att54	Att55	Att56	Att57	Att58	Att59	Att60	Att61	Att62	Att63	Att64	Att65	Att66	Att67	Att68	Att69	Att70	Att71	Att72	Att73	Att74	Att75	Att76	Att77	Att78	Att79	Att80	Att81	Att82	Att83	Att84	Att85	Att86	Att87	Att88	Att89	Att90	Att91	Att92	Att93	Att94	Att95	Att96	Att97	Att98	Att99	Att100	Att101	Att102	Att103	Class
"s-0.20595"	"s-0.058568"	"s-0.149521"	"s-0.036055"	"s-0.051877"	"s-0.008452"	"s-0.017734"	"s-0.059832"	"s-0.12277"	"s-0.116716"	"s-0.125049"	"s-0.043221"	"s-0.096317"	"s0.037721"	"s0.01508"	"s0.038298"	"s-0.072906"	"s-0.05356"	"s-0.066639"	"s-0.106578"	"s-0.086286"	"s-0.115576"	"s-0.065939"	"s0.002312"	"s0.04364"	"s3.67E-4"	"s-0.020551"	"s0.018349"	"s-0.027956"	"s-0.005069"	"s-7.81E-4"	"s-0.093186"	"s-0.053251"	"s-0.048795"	"s-0.032807"	"s0.019201"	"s-0.038093"	"s-0.103381"	"s-0.123052"	"s-0.128156"	"s0.007583"	"s-0.029246"	"s-0.042674"	"s-0.079747"	"s-0.067768"	"s-0.116509"	"s-0.085556"	"s-0.023844"	"s0.159688"	"s0.254302"	"s0.275525"	"s0.27806"	"s0.30461"	"s-0.169725"	"s0.189397"	"s0.107397"	"s0.156924"	"s0.121964"	"s-0.035543"	"s-0.01014"	"s-0.030009"	"s-0.004415"	"s0.010112"	"s0.007694"	"s-0.058764"	"s-0.021824"	"s-0.016823"	"s0.025174"	"s-0.01271"	"s-0.071702"	"s-0.007966"	"s-0.019624"	"s-0.038296"	"s-0.067961"	"s-0.097735"	"s0.003905"	"s0.003546"	"s-0.075448"	"s-0.029202"	"s-0.090887"	"s0.064991"	"s0.142621"	"s0.053729"	"s-0.015916"	"s0.055837"	"s0.201726"	"s-0.111631"	"s-0.120491"	"s-0.04959"	"s0.030128"	"s0.107452"	"s0.091222"	"s0.053246"	"s0.007009"	"s-0.027099"	"s-0.175298"	"s0.031949"	"s-0.021187"	"s-0.105011"	"s-0.136004"	"s0.051759"	"s-0.168696"	"s0.06936"	false
"s0.016397"	"s-0.094268"	"s-0.185003"	"s0.041764"	"s0.030642"	"s0.027187"	"s-0.046595"	"s-0.088817"	"s-0.062817"	"s-0.082239"	"s-0.055715"	"s-0.128918"	"s-0.095826"	"s0.120453"	"s-0.114474"	"s-0.158877"	"s0.04349"	"s0.040583"	"s-0.094826"	"s-0.121423"	"s0.163024"	"s0.092668"	"s0.095049"	"s0.075665"	"s0.060911"	"s0.134041"	"s0.034284"	"s0.10979"	"s0.061876"	"s-0.002674"	"s-0.002086"	"s0.068703"	"s0.106531"	"s0.097853"	"s0.081528"	"s0.03689"	"s-0.02099"	"s0.001883"	"s-0.052659"	"s-0.041652"	"s0.041838"	"s0.01108"	"s-0.020966"	"s0.016528"	"s0.072369"	"s0.172056"	"s0.240133"	"s0.058931"	"s0.094552"	"s-0.073739"	"s-5.42E-4"	"s0.008636"	"s0.031095"	"s0.236468"	"s0.037036"	"s0.008822"	"s-0.013184"	"s-0.126113"	"s-0.101315"	"s-0.146262"	"s0.005"	"s-0.035567"	"s0.12484"	"s0.041215"	"s-0.041411"	"s-0.13324"	"s-0.129323"	"s-0.089131"	"s-0.01765"	"s0.10447"	"s-0.091626"	"s-0.008328"	"s0.052078"	"s-0.048912"	"s-0.042666"	"s-0.149291"	"s-0.117009"	"s0.006069"	"s-0.009788"	"s0.070388"	"s0.119674"	"s0.123231"	"s-0.158761"	"s0.053061"	"s-0.02185"	"s-0.129773"	"s0.089623"	"s0.112459"	"s-0.011581"	"s-0.08319"	"s-0.082267"	"s-0.172764"	"s0.124747"	"s-0.191216"	"s0.13397"	"s0.057364"	"s0.067755"	"s0.068808"	"s-0.162976"	"s0.108122"	"s0.20233"	"s-0.177147"	"s-0.11911"	true
"s0.067801"	"s0.055819"	"s-0.023465"	"s0.04783"	"s0.026933"	"s0.030471"	"s0.078968"	"s0.096496"	"s0.029758"	"s0.011094"	"s0.006656"	"s0.030804"	"s0.139876"	"s0.091551"	"s0.091108"	"s-0.0014"	"s0.13003"	"s0.033739"	"s-0.00855"	"s0.098145"	"s0.178112"	"s0.124431"	"s0.199425"	"s0.195929"	"s0.203452"	"s0.115446"	"s0.100992"	"s0.130105"	"s0.1312"	"s0.005159"	"s0.063664"	"s0.04193"	"s-0.045974"	"s-0.056145"	"s-0.017428"	"s-0.002479"	"s0.080417"	"s0.095736"	"s0.056422"	"s-0.017902"	"s-0.026815"	"s-0.004896"	"s0.081914"	"s-0.06038"	"s-0.040511"	"s-0.055947"	"s-0.010341"	"s0.045789"	"s-0.104515"	"s-0.155094"	"s-0.122998"	"s-0.060687"	"s-0.017404"	"s0.05424"	"s-0.156386"	"s0.126949"	"s-0.196431"	"s-0.165248"	"s0.082275"	"s-0.028475"	"s-0.115532"	"s-0.085742"	"s-0.0111"	"s-0.009385"	"s0.086086"	"s0.019511"	"s-0.010718"	"s-0.103287"	"s0.111858"	"s0.01722"	"s-0.086204"	"s-0.072442"	"s0.114364"	"s0.080281"	"s0.037467"	"s0.048628"	"s0.096813"	"s-0.088992"	"s-0.132392"	"s0.258743"	"s0.194658"	"s-0.064613"	"s-0.046448"	"s-0.094842"	"s-0.065869"	"s-0.062451"	"s-0.072237"	"s-0.051927"	"s-0.04844"	"s-0.101131"	"s-0.101265"	"s-0.112793"	"s0.112796"	"s-0.107353"	"s0.168143"	"s-0.053216"	"s0.219048"	"s0.215133"	"s-0.087585"	"s-0.081678"	"s-0.048068"	"s-0.028533"	"s-0.008804"	false
"s0.013228"	"s0.082433"	"s-0.120544"	"s-0.105944"	"s-0.117035"	"s-0.060212"	"s0.044135"	"s-0.017782"	"s-0.046867"	"s-0.142279"	"s-0.144571"	"s-0.201099"	"s-0.070248"	"s-0.12674"	"s-0.020698"	"s-0.037266"	"s0.021079"	"s-0.017373"	"s0.082027"	"s-0.074086"	"s0.005366"	"s0.002716"	"s-0.072658"	"s-0.055956"	"s-0.068052"	"s0.022049"	"s0.070437"	"s-0.043364"	"s0.035114"	"s0.066358"	"s0.107626"	"s0.024448"	"s0.166923"	"s0.049365"	"s0.011229"	"s-0.024528"	"s0.031396"	"s-0.048562"	"s-0.096025"	"s-0.081643"	"s-0.012286"	"s-0.110157"	"s-0.060091"	"s-0.162055"	"s-0.094869"	"s-0.104261"	"s-0.102892"	"s-0.095294"	"s-0.024061"	"s0.038529"	"s0.110412"	"s0.134691"	"s0.153703"	"s-0.100114"	"s0.140187"	"s0.09377"	"s-0.136281"	"s-0.089341"	"s0.110362"	"s0.045029"	"s0.054647"	"s0.064375"	"s0.101446"	"s0.261087"	"s-0.0391"	"s-0.121215"	"s-0.062381"	"s-0.082758"	"s0.050501"	"s-0.046122"	"s0.033602"	"s-0.021917"	"s0.112487"	"s0.068566"	"s0.105862"	"s0.166898"	"s0.140801"	"s0.013734"	"s0.022819"	"s0.021844"	"s0.146796"	"s0.076575"	"s-0.091947"	"s0.108163"	"s-0.115787"	"s-0.117829"	"s0.067085"	"s0.304364"	"s0.172802"	"s-0.140279"	"s-0.135415"	"s-0.117584"	"s-0.051733"	"s-0.075215"	"s0.071523"	"s0.13555"	"s-0.071998"	"s-0.02515"	"s0.037748"	"s-0.031764"	"s0.091134"	"s-0.10719"	"s-0.113454"	false
"s0.040768"	"s0.027444"	"s0.020445"	"s-0.033912"	"s0.011659"	"s0.001976"	"s-0.015858"	"s0.014007"	"s-0.022239"	"s0.05131"	"s-0.071073"	"s-0.132168"	"s0.038016"	"s-0.008455"	"s-0.050108"	"s-0.05487"	"s-0.017512"	"s-0.011888"	"s0.0267"	"s-0.024499"	"s-0.006511"	"s0.03896"	"s-0.070627"	"s-0.108362"	"s-0.069366"	"s-0.059482"	"s0.023254"	"s-0.028687"	"s-0.003318"	"s-0.122313"	"s-0.259767"	"s-0.132928"	"s-0.101588"	"s-0.071592"	"s-0.05362"	"s0.028446"	"s-0.104704"	"s-0.126173"	"s-0.121205"	"s-0.089902"	"s0.039042"	"s-0.051881"	"s-0.108698"	"s-0.03088"	"s-0.11932"	"s-0.137075"	"s-0.121026"	"s-0.095991"	"s0.172639"	"s0.172325"	"s0.160069"	"s0.088037"	"s0.053373"	"s-0.044975"	"s-0.063877"	"s-0.171101"	"s0.259448"	"s0.140965"	"s0.140675"	"s0.003576"	"s0.035234"	"s0.098262"	"s-0.066709"	"s0.124592"	"s-0.143811"	"s0.030438"	"s-0.057823"	"s-0.164883"	"s0.071032"	"s0.1086"	"s0.149225"	"s0.073099"	"s-0.01074"	"s-0.049163"	"s-0.030174"	"s0.045918"	"s-0.034628"	"s-0.036994"	"s0.080798"	"s-0.102125"	"s-0.101734"	"s0.14793"	"s0.006279"	"s-0.015692"	"s-0.046489"	"s-0.118821"	"s-0.11803"	"s-0.057898"	"s-0.095841"	"s0.317305"	"s0.153377"	"s0.007322"	"s0.019642"	"s-0.021582"	"s0.042888"	"s-0.104764"	"s-0.053226"	"s0.25434"	"s0.035239"	"s-0.125579"	"s-0.038279"	"s-0.014477"	"s0.01325"	false
"s0.01556"	"s-0.058145"	"s0.021293"	"s0.026334"	"s0.01421"	"s-0.066673"	"s0.021514"	"s-0.079038"	"s-0.109585"	"s-0.107117"	"s-0.042139"	"s-0.016662"	"s0.107295"	"s0.070891"	"s0.09401"	"s0.006675"	"s-0.008433"	"s-0.121368"	"s-0.005235"	"s0.024312"	"s-0.009563"	"s-0.067439"	"s-0.030094"	"s0.010948"	"s-0.012957"	"s0.011954"	"s0.071155"	"s-0.011186"	"s-0.038181"	"s0.060393"	"s0.091508"	"s0.033784"	"s0.03989"	"s0.05462"	"s0.070115"	"s-0.007532"	"s-0.310219"	"s-0.02357"	"s0.03646"	"s0.256459"	"s0.021545"	"s0.035054"	"s-0.013629"	"s-0.006532"	"s0.068011"	"s0.077085"	"s0.061598"	"s-0.098896"	"s-0.035439"	"s-0.14004"	"s-0.136069"	"s-0.090233"	"s-0.087797"	"s0.097478"	"s-0.092533"	"s0.031337"	"s0.034018"	"s0.00617"	"s-0.006191"	"s0.063779"	"s-0.018557"	"s-0.016956"	"s0.014651"	"s-0.055804"	"s0.168727"	"s0.349388"	"s0.097609"	"s0.060052"	"s-0.054657"	"s-0.101368"	"s-0.089756"	"s-0.101999"	"s0.082935"	"s0.038762"	"s-0.008066"	"s-0.011954"	"s-5.19E-4"	"s0.05417"	"s0.002328"	"s-0.027431"	"s-0.02338"	"s0.006262"	"s0.041234"	"s-0.027578"	"s0.289577"	"s0.300604"	"s0.071893"	"s0.124184"	"s0.174346"	"s-0.020014"	"s-0.018747"	"s-0.075556"	"s-0.079827"	"s-0.082206"	"s-0.079697"	"s0.116635"	"s0.015903"	"s0.005523"	"s0.151981"	"s-0.236589"	"s-0.00469"	"s0.060142"	"s-0.224052"	true
"s-0.113358"	"s0.188235"	"s-0.022696"	"s-0.058523"	"s-0.259039"	"s-0.326138"	"s-0.220262"	"s-0.199791"	"s-0.002505"	"s0.110046"	"s0.046679"	"s0.109774"	"s-0.088511"	"s-0.15412"	"s-0.217265"	"s-0.087564"	"s-0.064761"	"s0.05495"	"s-0.023847"	"s-0.03757"	"s-0.084503"	"s0.042644"	"s0.002826"	"s0.0348"	"s3.1E-4"	"s0.098653"	"s0.04695"	"s0.132852"	"s0.016294"	"s0.112828"	"s-8.59E-4"	"s0.14934"	"s0.023078"	"s0.007947"	"s-0.195604"	"s-0.098151"	"s0.019993"	"s0.047076"	"s0.012821"	"s0.181882"	"s-0.040168"	"s-0.076425"	"s-0.002749"	"s-0.019924"	"s-0.02035"	"s0.025287"	"s-0.08627"	"s-0.005616"	"s0.010431"	"s0.046307"	"s0.022195"	"s0.005253"	"s0.015074"	"s-0.004684"	"s-0.03332"	"s-0.080728"	"s0.081825"	"s0.107294"	"s0.074283"	"s0.042073"	"s0.029765"	"s0.152611"	"s0.116978"	"s0.056775"	"s-0.018408"	"s0.003379"	"s0.018588"	"s-0.052954"	"s0.071495"	"s-0.028408"	"s0.04887"	"s0.084826"	"s0.031077"	"s-5.48E-4"	"s-0.133233"	"s-0.039434"	"s-0.048396"	"s-0.085832"	"s-0.042392"	"s0.246764"	"s0.205073"	"s-0.06827"	"s-0.054613"	"s-0.081428"	"s-0.04997"	"s-0.044362"	"s-0.055596"	"s-0.057375"	"s-0.06292"	"s-0.077927"	"s-0.076663"	"s-0.058994"	"s0.105075"	"s-0.057346"	"s0.242604"	"s-0.05074"	"s0.111713"	"s0.115597"	"s-0.049521"	"s-0.066047"	"s-0.049587"	"s-0.023413"	"s-0.034446"	false
"s0.190799"	"s0.123285"	"s0.148246"	"s0.147373"	"s0.061614"	"s0.259534"	"s0.1046"	"s0.071508"	"s0.136035"	"s-0.040265"	"s0.017602"	"s0.238163"	"s0.052366"	"s0.016561"	"s0.124965"	"s0.142138"	"s0.132684"	"s0.151055"	"s0.090081"	"s-0.012379"	"s0.132217"	"s-0.096666"	"s0.006636"	"s0.070218"	"s-0.22487"	"s0.018663"	"s0.017785"	"s0.008017"	"s-0.025118"	"s0.013521"	"s0.029246"	"s-0.005484"	"s-0.06201"	"s-0.031767"	"s-0.050734"	"s0.0539"	"s0.078969"	"s0.040775"	"s0.038936"	"s-0.064176"	"s-0.031551"	"s-0.017574"	"s0.007746"	"s-0.166103"	"s-0.04881"	"s-0.051178"	"s-0.054454"	"s0.140202"	"s-0.016667"	"s0.039499"	"s-0.020524"	"s-0.074928"	"s-0.021213"	"s-0.079126"	"s-0.129851"	"s-0.051512"	"s0.0298"	"s0.028854"	"s-0.152962"	"s0.013295"	"s-0.053671"	"s-0.140134"	"s0.005789"	"s-0.012415"	"s-0.129262"	"s-0.0332"	"s-0.133586"	"s-0.172424"	"s-0.105576"	"s-0.190589"	"s-0.041745"	"s-0.027917"	"s0.05048"	"s0.215159"	"s-0.174011"	"s-0.129183"	"s-0.106245"	"s0.049773"	"s0.208011"	"s-0.057162"	"s-0.028333"	"s-0.030118"	"s-0.072696"	"s-0.082462"	"s0.09955"	"s0.141598"	"s0.064163"	"s-0.034411"	"s-0.079013"	"s0.061209"	"s0.042965"	"s-0.029815"	"s-0.016104"	"s0.080247"	"s-0.064966"	"s0.080131"	"s-0.066237"	"s-0.071087"	"s-0.066957"	"s0.168953"	"s-0.079506"	"s-0.054078"	"s0.056066"	false
"s0.021519"	"s-0.115174"	"s-0.132929"	"s-0.211582"	"s-0.019469"	"s0.11038"	"s9.5E-5"	"s-0.039839"	"s-0.051104"	"s-0.08286"	"s-0.039881"	"s-0.079057"	"s-0.004665"	"s0.07773"	"s0.019011"	"s-0.039575"	"s0.042587"	"s0.029186"	"s0.105414"	"s-0.043556"	"s-0.044935"	"s-0.11328"	"s-0.118337"	"s-0.081037"	"s-0.045479"	"s-0.08268"	"s-0.093075"	"s-0.085454"	"s-0.073314"	"s0.006957"	"s-0.035538"	"s-0.115236"	"s-0.081928"	"s-0.037159"	"s-0.145341"	"s-0.075035"	"s-0.005978"	"s0.0181"	"s0.014691"	"s-0.012071"	"s-0.039551"	"s-0.0387"	"s0.001075"	"s0.10003"	"s0.175584"	"s0.182148"	"s0.149891"	"s-0.059529"	"s0.135978"	"s0.076657"	"s0.142472"	"s0.16585"	"s0.10824"	"s-0.012064"	"s0.109945"	"s0.005931"	"s0.092686"	"s0.066014"	"s0.006694"	"s-0.013503"	"s-0.027753"	"s-0.03995"	"s0.099759"	"s0.034808"	"s-0.002945"	"s-0.16591"	"s-0.110004"	"s-0.089069"	"s0.026452"	"s0.007621"	"s-0.123129"	"s-0.031261"	"s0.078944"	"s0.082721"	"s0.007009"	"s-0.222162"	"s-0.131338"	"s-0.023866"	"s-0.013809"	"s0.012129"	"s-0.070871"	"s0.075906"	"s0.008467"	"s-0.095796"	"s0.479417"	"s-0.065157"	"s-0.066327"	"s-0.071789"	"s-0.019334"	"s0.194973"	"s-0.001375"	"s0.037902"	"s0.043938"	"s0.114862"	"s-0.069303"	"s-0.064893"	"s-0.068633"	"s-0.068421"	"s-0.064222"	"s-0.077239"	"s-0.076487"	"s0.166674"	"s-0.032738"	true
"s0.106588"	"s-0.095593"	"s-0.080415"	"s-0.040431"	"s0.056931"	"s0.119006"	"s0.099364"	"s0.023411"	"s0.101051"	"s0.095928"	"s0.024568"	"s0.023792"	"s0.155663"	"s0.088755"	"s0.059273"	"s0.031259"	"s0.125471"	"s0.062382"	"s-0.066014"	"s0.051751"	"s0.01608"	"s0.123319"	"s0.196434"	"s0.114339"	"s0.093179"	"s-0.021018"	"s0.008761"	"s0.102112"	"s0.060853"	"s-0.098168"	"s-0.058386"	"s-0.010197"	"s0.209323"	"s0.217225"	"s0.203404"	"s0.127098"	"s0.15177"	"s0.148701"	"s0.130828"	"s0.037393"	"s0.050251"	"s0.174504"	"s0.159791"	"s0.011915"	"s0.112509"	"s0.091429"	"s0.10355"	"s0.039801"	"s-0.207232"	"s-0.070379"	"s-0.125249"	"s-0.064385"	"s-0.054429"	"s-0.044527"	"s-0.032041"	"s0.059799"	"s-0.191897"	"s-0.124758"	"s-0.018275"	"s-0.22125"	"s-0.130139"	"s-0.108545"	"s-0.079606"	"s-0.136803"	"s0.04761"	"s0.130305"	"s-0.067098"	"s-0.051285"	"s-0.045028"	"s-0.048568"	"s-0.091882"	"s-0.023138"	"s0.07096"	"s-0.007876"	"s0.001964"	"s-0.002472"	"s-0.041861"	"s-0.154405"	"s-0.132087"	"s-0.030286"	"s-0.028545"	"s-0.044823"	"s-0.04768"	"s-0.071522"	"s-0.008217"	"s-0.036878"	"s-0.044524"	"s-0.062371"	"s-0.058851"	"s-0.04909"	"s-0.04583"	"s-0.051987"	"s0.067917"	"s-0.01894"	"s0.258286"	"s-0.048597"	"s0.081335"	"s0.068958"	"s-0.024308"	"s-0.066961"	"s-0.015828"	"s-0.01339"	"s0.106347"	true
"s-0.024858"	"s0.07355"	"s0.021003"	"s0.077748"	"s-0.123588"	"s-0.128629"	"s-0.096378"	"s0.078445"	"s-0.210533"	"s-0.024617"	"s-0.062601"	"s-0.081086"	"s-0.058624"	"s-0.143849"	"s0.253554"	"s-0.079066"	"s-0.142703"	"s0.038298"	"s0.006509"	"s-0.091066"	"s-0.125611"	"s-0.085562"	"s0.079834"	"s0.019585"	"s0.082615"	"s0.002659"	"s-0.225333"	"s0.127401"	"s-0.08545"	"s-0.296432"	"s-0.199706"	"s-0.032955"	"s0.012866"	"s0.009973"	"s-0.127172"	"s-0.032554"	"s-0.081392"	"s-0.091359"	"s0.007729"	"s0.043942"	"s-0.110015"	"s-0.05959"	"s-0.083585"	"s-0.011619"	"s-0.111721"	"s0.016124"	"s-0.074092"	"s0.164177"	"s0.030049"	"s0.045045"	"s0.032223"	"s0.071098"	"s0.089198"	"s-0.008159"	"s0.055067"	"s0.055823"	"s-0.012755"	"s-0.019341"	"s-0.020228"	"s0.068932"	"s0.0653"	"s0.13803"	"s0.111134"	"s0.087498"	"s-0.209443"	"s0.079362"	"s-0.112359"	"s-0.076919"	"s0.07395"	"s0.185182"	"s0.240069"	"s0.013354"	"s0.114981"	"s0.031996"	"s0.033491"	"s-0.008182"	"s0.100663"	"s0.010803"	"s0.04488"	"s-0.046441"	"s-0.079682"	"s-0.015582"	"s0.001656"	"s-0.104017"	"s0.069982"	"s-0.040404"	"s-0.015744"	"s-0.049971"	"s-0.042792"	"s-0.044943"	"s-0.063718"	"s-0.080485"	"s0.086626"	"s-0.057772"	"s-0.078049"	"s0.231249"	"s-0.057322"	"s-0.041873"	"s0.097571"	"s0.080986"	"s0.122601"	"s-0.004793"	"s0.041213"	false
"s0.037053"	"s-0.059943"	"s0.165414"	"s-0.025277"	"s-0.126046"	"s0.055081"	"s-0.13389"	"s0.08385"	"s0.235689"	"s-0.071268"	"s0.094761"	"s0.053791"	"s-0.030071"	"s0.044347"	"s-0.038554"	"s0.146165"	"s-0.043733"	"s0.001482"	"s0.008502"	"s0.033231"	"s0.122813"	"s0.397918"	"s0.182074"	"s0.15793"	"s0.168359"	"s0.119034"	"s0.013731"	"s0.04443"	"s0.152506"	"s-0.038088"	"s5.5E-4"	"s0.026596"	"s0.063691"	"s0.067004"	"s0.066443"	"s-0.027553"	"s0.022396"	"s0.00643"	"s0.006308"	"s-0.076355"	"s-0.057977"	"s0.013573"	"s0.032935"	"s0.014415"	"s0.091635"	"s0.031093"	"s0.083237"	"s0.149159"	"s-0.044714"	"s-0.007336"	"s-0.060349"	"s-0.033402"	"s0.011175"	"s-0.006704"	"s-0.025502"	"s0.061883"	"s-0.111721"	"s-0.047311"	"s-0.03752"	"s-0.240648"	"s-0.277942"	"s-0.186359"	"s-0.183409"	"s-0.11094"	"s0.133781"	"s0.194995"	"s-0.053371"	"s-0.091672"	"s-0.037118"	"s-0.061501"	"s-0.086774"	"s-0.032013"	"s0.189697"	"s0.090763"	"s0.133096"	"s0.026169"	"s-0.017849"	"s-0.038227"	"s-0.115104"	"s-0.015774"	"s-0.027591"	"s-0.044663"	"s-0.039703"	"s-0.070465"	"s-0.021299"	"s0.011996"	"s-0.027825"	"s-0.046014"	"s-0.040653"	"s0.041292"	"s0.024748"	"s-0.034578"	"s-0.012179"	"s-0.005055"	"s-0.029519"	"s-0.032868"	"s-0.028247"	"s-0.036912"	"s0.018808"	"s0.093311"	"s-0.025524"	"s0.101651"	"s0.110557"	false
"s-0.027164"	"s-0.219608"	"s-0.094275"	"s-0.24156"	"s0.001344"	"s0.102898"	"s0.070011"	"s-0.078187"	"s-0.059935"	"s-0.153722"	"s-0.008578"	"s-0.098076"	"s-0.00603"	"s-0.112351"	"s-0.023967"	"s-0.067514"	"s0.088187"	"s0.023861"	"s0.17309"	"s-0.045548"	"s-0.170861"	"s0.032953"	"s0.00179"	"s-0.029846"	"s-0.147997"	"s-0.02093"	"s3.8E-5"	"s-0.113999"	"s-0.047557"	"s0.025021"	"s0.003842"	"s-0.123782"	"s0.198539"	"s0.155237"	"s0.079456"	"s-0.032297"	"s0.067567"	"s0.068184"	"s0.084489"	"s0.004217"	"s-0.014599"	"s0.051131"	"s0.013052"	"s-0.243261"	"s0.100473"	"s-0.011038"	"s0.028356"	"s-0.045188"	"s-0.210742"	"s-0.057073"	"s-0.042843"	"s-0.084731"	"s-0.066971"	"s-0.091944"	"s0.080118"	"s0.033162"	"s-0.078567"	"s0.031344"	"s0.143904"	"s0.057623"	"s0.093168"	"s-0.07929"	"s0.062501"	"s0.121969"	"s0.060544"	"s0.019721"	"s-0.080406"	"s0.032152"	"s0.066409"	"s0.169372"	"s0.126137"	"s0.087519"	"s0.196806"	"s0.182128"	"s0.164972"	"s-0.141685"	"s-0.057533"	"s-0.015875"	"s0.018573"	"s-0.005899"	"s-0.003905"	"s-0.0986"	"s0.013604"	"s-0.109495"	"s0.063639"	"s-0.002157"	"s-0.040222"	"s-0.079237"	"s-0.086955"	"s0.151046"	"s0.113811"	"s0.051335"	"s-0.087389"	"s0.039882"	"s-0.079258"	"s0.111084"	"s-0.045144"	"s-0.078243"	"s-0.060151"	"s0.239851"	"s-0.0822"	"s-0.02039"	"s0.047983"	false
"s0.051961"	"s-0.044374"	"s0.105554"	"s-0.011016"	"s-0.037963"	"s0.058358"	"s0.072471"	"s0.053265"	"s0.043388"	"s0.04229"	"s0.047498"	"s-0.044326"	"s-0.106548"	"s-0.04524"	"s0.014751"	"s0.019752"	"s0.081322"	"s0.091639"	"s0.143121"	"s0.083255"	"s-0.001209"	"s-0.096146"	"s-0.006969"	"s-0.065884"	"s-0.019792"	"s-0.026133"	"s-0.002548"	"s-0.035202"	"s-0.095662"	"s0.024154"	"s0.103033"	"s0.00571"	"s-0.037156"	"s-0.074256"	"s-0.112567"	"s-0.103584"	"s-0.06898"	"s-0.06266"	"s-0.134547"	"s-0.187671"	"s-0.145989"	"s-0.048814"	"s-0.095345"	"s-0.064043"	"s-0.078951"	"s-0.150031"	"s-0.065886"	"s-0.118115"	"s0.095433"	"s0.26146"	"s0.243204"	"s0.217063"	"s0.082068"	"s-0.166227"	"s0.040805"	"s-0.020792"	"s0.142466"	"s0.194171"	"s-0.090539"	"s0.022901"	"s-0.013304"	"s0.033979"	"s0.013375"	"s-0.001919"	"s-0.148361"	"s-0.045092"	"s0.037673"	"s-0.075594"	"s-0.104703"	"s-0.012779"	"s-0.050711"	"s-0.046429"	"s-0.144508"	"s-0.079757"	"s-0.099359"	"s-0.038795"	"s-0.021545"	"s-0.084627"	"s-0.020497"	"s-0.082471"	"s-0.028316"	"s-0.110157"	"s-0.099436"	"s0.109221"	"s0.150512"	"s0.176058"	"s0.182979"	"s0.134491"	"s0.239266"	"s-0.119174"	"s-0.117106"	"s-0.038799"	"s0.10538"	"s0.008945"	"s-0.099658"	"s0.08032"	"s-0.098229"	"s-0.097765"	"s-0.094067"	"s-0.061852"	"s-0.109677"	"s-0.082718"	"s0.018689"	true
"s0.044228"	"s-0.054637"	"s-0.062379"	"s0.030654"	"s0.011338"	"s0.050941"	"s0.09919"	"s0.065523"	"s0.090042"	"s-0.001043"	"s0.048784"	"s0.110758"	"s0.193507"	"s0.097406"	"s0.135676"	"s0.068224"	"s-0.007199"	"s0.026309"	"s-0.133961"	"s0.17512"	"s0.106164"	"s0.123833"	"s-0.042687"	"s0.013561"	"s-0.026005"	"s-0.026933"	"s0.01284"	"s0.00285"	"s0.06344"	"s0.100103"	"s0.049707"	"s0.072968"	"s-0.121315"	"s-0.161094"	"s-0.154296"	"s0.051749"	"s0.110535"	"s0.067412"	"s0.094281"	"s0.050389"	"s0.042864"	"s0.096358"	"s0.062678"	"s-0.119534"	"s-0.007346"	"s-0.025193"	"s0.006611"	"s0.196898"	"s0.201656"	"s0.021905"	"s-0.107766"	"s-0.219924"	"s-0.223903"	"s0.206318"	"s-0.148823"	"s-0.160987"	"s0.0468"	"s0.040929"	"s0.029356"	"s-0.091813"	"s-0.162245"	"s0.005348"	"s0.043198"	"s0.084113"	"s-0.03337"	"s-0.147789"	"s0.099586"	"s0.097906"	"s0.025179"	"s0.020853"	"s-0.043667"	"s-0.04645"	"s0.20401"	"s0.27432"	"s0.182694"	"s-0.044279"	"s0.010361"	"s-0.21649"	"s-0.112669"	"s0.023591"	"s0.033857"	"s-0.069406"	"s0.099086"	"s0.051434"	"s-0.01523"	"s-0.029963"	"s-0.034195"	"s-0.039479"	"s-0.053459"	"s-0.059638"	"s-0.062132"	"s-0.046415"	"s-0.011362"	"s-0.029068"	"s0.043857"	"s-0.043719"	"s0.018814"	"s0.022308"	"s-0.038147"	"s-0.062699"	"s-0.051501"	"s-0.005337"	"s0.127458"	true
