%
% ARFF data file, generated by KNIME
%
% Date: Thu Jun 22 10:41:11 CEST 2017
% User: guillaume
%

@RELATION DataTable
@ATTRIBUTE att0	STRING
@ATTRIBUTE att1	STRING
@ATTRIBUTE att2	STRING
@ATTRIBUTE att3	STRING
@ATTRIBUTE att4	STRING
@ATTRIBUTE att5	STRING
@ATTRIBUTE att6	STRING
@ATTRIBUTE att7	STRING
@ATTRIBUTE att8	STRING
@ATTRIBUTE att9	STRING
@ATTRIBUTE Class	{cortana,false}

@DATA
s134,s177,s167,s175,s103,s89,s11,s131,s184,s18,cortana
s129,s177,s167,s175,s103,s89,s11,s131,s14,s10,cortana
s131,s177,s167,s175,s103,s89,s11,s131,s70,s139,cortana
s120,s177,s167,s175,s103,s89,s11,s131,s3,s78,cortana
s72,s177,s167,s175,s103,s89,s11,s131,s119,s33,cortana
s103,s177,s167,s175,s103,s89,s11,s131,s50,s170,cortana
s113,s177,s167,s175,s103,s89,s11,s131,s51,s107,cortana
s31,s177,s167,s175,s103,s89,s11,s131,s191,s74,cortana
s12,s177,s167,s175,s103,s89,s11,s131,s27,s58,cortana
s101,s135,s46,s28,s181,s133,s182,s27,s45,s136,cortana
s174,s177,s167,s175,s103,s89,s11,s131,s80,s59,cortana
s31,s177,s167,s175,s103,s89,s11,s131,s59,s159,cortana
s181,s177,s167,s175,s103,s89,s11,s131,s146,s85,cortana
s110,s177,s167,s175,s103,s89,s11,s131,s77,s75,cortana
s90,s177,s167,s175,s103,s89,s11,s131,s170,s182,cortana
s174,s177,s167,s175,s103,s89,s11,s131,s92,s54,cortana
s12,s177,s167,s175,s103,s89,s11,s131,s98,s58,cortana
s24,s177,s167,s175,s103,s89,s11,s131,s101,s51,cortana
s40,s177,s167,s175,s103,s89,s11,s131,s143,s167,cortana
s6,s177,s167,s175,s103,s89,s11,s131,s67,s198,cortana
s46,s177,s167,s175,s103,s89,s11,s131,s124,s185,cortana
s43,s177,s167,s175,s103,s89,s11,s131,s61,s176,cortana
s150,s177,s167,s175,s103,s89,s11,s131,s111,s57,cortana
s189,s177,s167,s175,s103,s89,s11,s131,s44,s132,cortana
s113,s177,s167,s175,s103,s89,s11,s131,s163,s84,cortana
s10,s177,s167,s175,s103,s89,s11,s131,s149,s61,cortana
s155,s177,s167,s175,s103,s89,s11,s131,s60,s139,cortana
s188,s177,s167,s175,s103,s89,s11,s131,s183,s104,cortana
s60,s177,s167,s175,s103,s89,s11,s131,s173,s29,cortana
s79,s177,s167,s175,s103,s89,s11,s131,s133,s176,cortana
s62,s177,s167,s175,s103,s89,s11,s131,s128,s135,cortana
s179,s177,s167,s175,s103,s89,s11,s131,s173,s105,cortana
s98,s177,s167,s175,s103,s89,s11,s131,s0,s49,cortana
s187,s177,s167,s175,s103,s89,s11,s131,s109,s87,cortana
s192,s177,s167,s175,s103,s89,s11,s131,s113,s90,cortana
s7,s177,s167,s175,s103,s89,s11,s131,s54,s19,cortana
s40,s177,s167,s175,s103,s89,s11,s131,s140,s64,cortana
s111,s177,s167,s175,s103,s89,s11,s131,s72,s8,cortana
s169,s177,s167,s175,s103,s89,s11,s131,s110,s20,cortana
s119,s177,s167,s175,s103,s89,s11,s131,s178,s153,cortana
s182,s177,s167,s175,s103,s89,s11,s131,s88,s171,cortana
s117,s177,s167,s175,s103,s89,s11,s131,s88,s92,cortana
s85,s177,s167,s175,s103,s89,s11,s131,s78,s13,cortana
s3,s177,s167,s175,s103,s89,s11,s131,s136,s55,cortana
s90,s177,s167,s175,s103,s89,s11,s131,s11,s195,cortana
s113,s91,s70,s102,s185,s118,s173,s58,s19,s73,cortana
s55,s177,s167,s175,s103,s89,s11,s131,s88,s146,cortana
s151,s177,s167,s175,s103,s89,s11,s131,s7,s161,cortana
s123,s177,s167,s175,s103,s89,s11,s131,s89,s97,cortana
s123,s177,s167,s175,s103,s89,s11,s131,s55,s79,cortana
s30,s177,s167,s175,s103,s89,s11,s131,s32,s66,cortana
s127,s177,s167,s175,s103,s89,s11,s131,s103,s49,cortana
s191,s177,s167,s175,s103,s89,s11,s131,s1,s135,cortana
s86,s177,s167,s175,s103,s89,s11,s131,s189,s46,cortana
s142,s177,s167,s175,s103,s89,s11,s131,s75,s57,cortana
s147,s177,s167,s175,s103,s89,s11,s131,s100,s108,cortana
s127,s177,s167,s175,s103,s89,s11,s131,s85,s109,cortana
s7,s177,s167,s175,s103,s89,s11,s131,s35,s70,cortana
s162,s177,s167,s175,s103,s89,s11,s131,s92,s181,cortana
s73,s177,s167,s175,s103,s89,s11,s131,s176,s129,cortana
s198,s177,s167,s175,s103,s89,s11,s131,s58,s109,cortana
s193,s177,s167,s175,s103,s89,s11,s131,s65,s11,cortana
s6,s177,s167,s175,s103,s89,s11,s131,s153,s21,cortana
s0,s177,s167,s175,s103,s89,s11,s131,s180,s41,cortana
s159,s177,s167,s175,s103,s89,s11,s131,s182,s47,cortana
s36,s177,s167,s175,s103,s89,s11,s131,s37,s166,cortana
s29,s177,s167,s175,s103,s89,s11,s131,s91,s7,cortana
s146,s177,s167,s175,s103,s89,s11,s131,s62,s174,cortana
s57,s177,s167,s175,s103,s89,s11,s131,s15,s81,cortana
s97,s177,s167,s175,s103,s89,s11,s131,s75,s114,cortana
s25,s177,s167,s175,s103,s89,s11,s131,s176,s5,cortana
s43,s177,s167,s175,s103,s89,s11,s131,s155,s71,cortana
s15,s55,s79,s115,s124,s146,s22,s117,s113,s3,cortana
s187,s177,s167,s175,s103,s89,s11,s131,s23,s43,cortana
s58,s177,s167,s175,s103,s89,s11,s131,s190,s97,cortana
s123,s177,s167,s175,s103,s89,s11,s131,s29,s55,cortana
s180,s177,s167,s175,s103,s89,s11,s131,s89,s106,cortana
s112,s177,s167,s175,s103,s89,s11,s131,s59,s1,cortana
s172,s177,s167,s175,s103,s89,s11,s131,s17,s130,cortana
s101,s177,s167,s175,s103,s89,s11,s131,s29,s39,cortana
s9,s177,s167,s175,s103,s89,s11,s131,s78,s187,cortana
s9,s177,s167,s175,s103,s89,s11,s131,s168,s46,cortana
s94,s177,s167,s175,s103,s89,s11,s131,s113,s47,cortana
s23,s177,s167,s175,s103,s89,s11,s131,s109,s109,cortana
s101,s177,s167,s175,s103,s89,s11,s131,s147,s8,cortana
s139,s177,s167,s175,s103,s89,s11,s131,s172,s140,cortana
s100,s177,s167,s175,s103,s89,s11,s131,s160,s194,cortana
s175,s177,s167,s175,s103,s89,s11,s131,s50,s54,cortana
s59,s177,s167,s175,s103,s89,s11,s131,s48,s12,cortana
s114,s177,s167,s175,s103,s89,s11,s131,s44,s47,cortana
s88,s177,s167,s175,s103,s89,s11,s131,s11,s124,cortana
s124,s177,s167,s175,s103,s89,s11,s131,s11,s193,cortana
s77,s177,s167,s175,s103,s89,s11,s131,s6,s151,cortana
s47,s177,s167,s175,s103,s89,s11,s131,s50,s38,cortana
s158,s177,s167,s175,s103,s89,s11,s131,s9,s76,cortana
s11,s177,s167,s175,s103,s89,s11,s131,s12,s65,cortana
s100,s177,s167,s175,s103,s89,s11,s131,s177,s48,cortana
s171,s177,s167,s175,s103,s89,s11,s131,s41,s96,cortana
s77,s177,s167,s175,s103,s89,s11,s131,s141,s140,cortana
s17,s177,s167,s175,s103,s89,s11,s131,s91,s116,false
s191,s177,s167,s175,s103,s89,s11,s131,s60,s34,false
s154,s177,s167,s175,s103,s89,s11,s131,s142,s27,false
s31,s177,s167,s175,s103,s89,s11,s131,s77,s9,false
s102,s177,s167,s175,s103,s89,s11,s131,s10,s175,false
s109,s177,s167,s175,s103,s89,s11,s131,s183,s94,false
s111,s177,s167,s175,s103,s89,s11,s131,s164,s78,false
s117,s177,s167,s175,s103,s89,s11,s131,s191,s35,false
s127,s177,s167,s175,s103,s89,s11,s131,s3,s159,false
s164,s177,s167,s175,s103,s89,s11,s131,s193,s28,false
s19,s44,s35,s14,s181,s106,s149,s109,s191,s81,cortana
s151,s11,s189,s70,s181,s106,s149,s109,s98,s28,cortana
s157,s20,s96,s3,s181,s106,s149,s109,s22,s49,cortana
s44,s192,s93,s73,s181,s106,s149,s109,s87,s67,cortana
s46,s136,s65,s159,s181,s106,s149,s109,s107,s72,cortana
s164,s133,s90,s23,s181,s106,s149,s109,s15,s194,cortana
s192,s23,s31,s13,s181,s106,s149,s109,s137,s121,cortana
s169,s40,s162,s185,s181,s106,s149,s109,s197,s37,cortana
s3,s70,s62,s47,s181,s106,s149,s109,s11,s182,cortana
s17,s14,s23,s43,s181,s106,s149,s109,s58,s120,cortana
s81,s118,s119,s61,s181,s106,s149,s109,s80,s10,cortana
s146,s146,s37,s182,s181,s106,s149,s109,s90,s130,cortana
s51,s162,s36,s146,s181,s106,s149,s109,s130,s94,cortana
s138,s22,s7,s68,s181,s106,s149,s109,s92,s112,cortana
s116,s69,s169,s187,s181,s106,s149,s109,s73,s52,cortana
s151,s66,s7,s95,s181,s106,s149,s109,s166,s190,cortana
s128,s9,s68,s95,s181,s106,s149,s109,s44,s23,cortana
s106,s151,s49,s28,s181,s106,s149,s109,s33,s141,cortana
s95,s35,s99,s182,s102,s77,s10,s32,s169,s55,cortana
s179,s137,s107,s61,s181,s106,s149,s109,s156,s33,cortana
s94,s115,s38,s20,s181,s106,s149,s109,s87,s120,cortana
s109,s38,s56,s129,s181,s106,s149,s109,s55,s91,cortana
s76,s23,s19,s168,s181,s106,s149,s109,s104,s173,cortana
s188,s130,s12,s6,s181,s106,s149,s109,s36,s29,cortana
s155,s154,s124,s26,s181,s106,s149,s109,s92,s97,cortana
s161,s125,s47,s83,s181,s106,s149,s109,s156,s158,cortana
s42,s73,s162,s143,s181,s106,s149,s109,s185,s10,cortana
s31,s105,s150,s144,s181,s106,s149,s109,s199,s123,cortana
s13,s50,s40,s182,s181,s106,s149,s109,s77,s24,cortana
s57,s169,s69,s159,s181,s106,s149,s109,s61,s63,cortana
s103,s34,s160,s138,s181,s106,s149,s109,s102,s131,cortana
s161,s141,s120,s155,s181,s106,s149,s109,s81,s149,cortana
s8,s61,s142,s119,s181,s106,s149,s109,s123,s58,cortana
s143,s117,s98,s45,s181,s106,s149,s109,s34,s35,cortana
s94,s109,s3,s62,s181,s106,s149,s109,s181,s112,cortana
s32,s184,s169,s130,s181,s106,s149,s109,s136,s1,cortana
s179,s103,s1,s120,s181,s106,s149,s109,s85,s21,cortana
s104,s31,s136,s87,s181,s106,s149,s109,s160,s149,cortana
s16,s113,s36,s165,s181,s106,s149,s109,s110,s173,cortana
s8,s128,s136,s81,s181,s106,s149,s109,s137,s11,cortana
s49,s63,s158,s121,s181,s106,s149,s109,s22,s185,cortana
s54,s155,s41,s123,s181,s106,s149,s109,s186,s116,cortana
s84,s134,s83,s74,s181,s106,s149,s109,s197,s94,cortana
s91,s20,s125,s158,s181,s106,s149,s109,s128,s17,cortana
s9,s8,s152,s99,s181,s106,s149,s109,s191,s29,cortana
s184,s17,s146,s15,s181,s106,s149,s109,s24,s150,cortana
s128,s92,s136,s125,s181,s106,s149,s109,s103,s63,cortana
s188,s141,s164,s117,s181,s106,s149,s109,s146,s147,cortana
s115,s45,s35,s81,s0,s28,s21,s86,s194,s197,cortana
s79,s42,s53,s109,s181,s106,s149,s109,s182,s156,cortana
s78,s77,s42,s131,s181,s106,s149,s109,s129,s187,cortana
s104,s167,s25,s82,s181,s106,s149,s109,s184,s20,cortana
s88,s65,s178,s98,s181,s106,s149,s109,s64,s27,cortana
s96,s57,s23,s57,s181,s106,s149,s109,s48,s169,cortana
s3,s120,s23,s12,s181,s106,s149,s109,s72,s86,cortana
s164,s9,s70,s3,s181,s106,s149,s109,s122,s102,cortana
s9,s22,s54,s129,s181,s106,s149,s109,s26,s31,cortana
s138,s109,s178,s114,s181,s106,s149,s109,s121,s90,cortana
s24,s0,s21,s16,s181,s106,s149,s109,s97,s188,cortana
s131,s0,s20,s0,s181,s106,s149,s109,s194,s65,cortana
s146,s49,s2,s102,s181,s106,s149,s109,s159,s126,cortana
s150,s134,s160,s108,s181,s106,s149,s109,s33,s15,cortana
s193,s81,s55,s198,s181,s106,s149,s109,s177,s63,cortana
s33,s97,s75,s179,s181,s106,s149,s109,s157,s30,cortana
s93,s183,s58,s30,s181,s106,s149,s109,s104,s60,cortana
s158,s88,s175,s191,s181,s106,s149,s109,s29,s26,cortana
s118,s94,s99,s126,s181,s106,s149,s109,s155,s135,cortana
s187,s91,s91,s161,s181,s106,s149,s109,s83,s74,cortana
s147,s108,s15,s79,s181,s106,s149,s109,s196,s24,cortana
s128,s8,s125,s32,s181,s106,s149,s109,s38,s30,cortana
s54,s59,s61,s189,s181,s106,s149,s109,s89,s51,cortana
s139,s42,s90,s195,s181,s106,s149,s109,s143,s36,cortana
s192,s43,s101,s97,s118,s35,s20,s44,s14,s192,cortana
s125,s39,s65,s191,s181,s106,s149,s109,s66,s106,cortana
s150,s18,s108,s161,s181,s106,s149,s109,s113,s149,cortana
s138,s83,s38,s18,s181,s106,s149,s109,s184,s77,cortana
s63,s21,s113,s91,s181,s106,s149,s109,s112,s50,cortana
s69,s140,s126,s54,s181,s106,s149,s109,s169,s88,cortana
s8,s196,s173,s186,s181,s106,s149,s109,s58,s190,cortana
s25,s181,s91,s76,s181,s106,s149,s109,s141,s160,cortana
s112,s147,s119,s90,s124,s92,s166,s155,s198,s24,cortana
s172,s154,s152,s113,s181,s106,s149,s109,s119,s5,cortana
s134,s4,s146,s135,s181,s106,s149,s109,s168,s4,cortana
s192,s157,s148,s171,s181,s106,s149,s109,s95,s183,cortana
s119,s55,s116,s172,s181,s106,s149,s109,s82,s171,cortana
s154,s195,s189,s197,s181,s106,s149,s109,s0,s74,cortana
s71,s79,s162,s6,s119,s95,s14,s140,s196,s131,cortana
s162,s125,s107,s137,s181,s106,s149,s109,s64,s87,cortana
s122,s2,s189,s49,s181,s106,s149,s109,s88,s40,cortana
s47,s144,s141,s124,s181,s106,s149,s109,s15,s199,cortana
s157,s35,s20,s136,s181,s106,s149,s109,s108,s197,cortana
s49,s193,s94,s4,s181,s106,s149,s109,s38,s111,cortana
s51,s58,s60,s45,s181,s106,s149,s109,s26,s55,cortana
s89,s183,s198,s149,s181,s106,s149,s109,s185,s106,cortana
s30,s130,s26,s132,s181,s106,s149,s109,s22,s94,cortana
s103,s154,s179,s45,s181,s106,s149,s109,s116,s2,cortana
s149,s77,s27,s122,s181,s106,s149,s109,s11,s22,cortana
s172,s71,s64,s165,s181,s106,s149,s109,s81,s34,cortana
s123,s119,s61,s133,s181,s106,s149,s109,s160,s132,cortana
s31,s36,s50,s32,s181,s106,s149,s109,s68,s140,cortana
s6,s116,s13,s96,s181,s106,s149,s109,s73,s162,cortana
s67,s47,s198,s35,s181,s106,s149,s109,s47,s22,cortana
s22,s47,s0,s94,s181,s106,s149,s109,s173,s160,cortana
s44,s139,s160,s9,s181,s106,s149,s109,s170,s136,cortana
s115,s98,s114,s105,s181,s106,s149,s109,s35,s157,cortana
s119,s83,s182,s158,s181,s106,s149,s109,s27,s78,cortana
s121,s43,s136,s33,s181,s106,s149,s109,s116,s151,cortana
s1,s115,s161,s38,s181,s106,s149,s109,s173,s79,cortana
s95,s168,s86,s24,s181,s106,s149,s109,s157,s167,cortana
s186,s119,s182,s82,s181,s106,s149,s109,s148,s168,cortana
s174,s85,s52,s165,s181,s106,s149,s109,s56,s144,cortana
s191,s188,s126,s42,s181,s106,s149,s109,s83,s162,cortana
s10,s5,s39,s66,s181,s106,s149,s109,s32,s104,cortana
s33,s18,s177,s154,s181,s106,s149,s109,s60,s55,cortana
s99,s134,s141,s48,s181,s106,s149,s109,s104,s125,cortana
s58,s75,s79,s32,s181,s106,s149,s109,s21,s196,cortana
s21,s182,s170,s83,s181,s106,s149,s109,s152,s177,cortana
s93,s189,s29,s56,s181,s106,s149,s109,s79,s63,cortana
s54,s40,s176,s77,s181,s106,s149,s109,s178,s176,cortana
s14,s162,s143,s42,s181,s106,s149,s109,s65,s159,cortana
s152,s23,s79,s176,s181,s106,s149,s109,s85,s77,cortana
s85,s143,s183,s85,s181,s106,s149,s109,s54,s35,cortana
s10,s62,s174,s185,s181,s106,s149,s109,s51,s13,cortana
s85,s142,s21,s169,s181,s106,s149,s109,s28,s161,cortana
s6,s181,s35,s46,s181,s106,s149,s109,s100,s136,cortana
s37,s96,s74,s140,s181,s106,s149,s109,s108,s47,cortana
s148,s119,s9,s160,s181,s106,s149,s109,s28,s47,cortana
s134,s87,s27,s41,s181,s106,s149,s109,s133,s20,cortana
s179,s36,s73,s129,s181,s106,s149,s109,s167,s186,cortana
s39,s193,s122,s107,s181,s106,s149,s109,s150,s138,cortana
s16,s85,s168,s103,s181,s106,s149,s109,s161,s174,cortana
s108,s103,s105,s96,s181,s106,s149,s109,s123,s64,cortana
s57,s144,s53,s64,s181,s106,s149,s109,s106,s139,cortana
s32,s114,s150,s124,s181,s106,s149,s109,s30,s190,cortana
s147,s118,s118,s131,s181,s106,s149,s109,s136,s136,cortana
s171,s126,s154,s181,s181,s106,s149,s109,s134,s96,cortana
s89,s82,s7,s188,s181,s106,s149,s109,s165,s45,cortana
s172,s187,s145,s148,s181,s106,s149,s109,s163,s53,cortana
s138,s83,s51,s103,s181,s106,s149,s109,s171,s40,cortana
s83,s79,s39,s84,s181,s106,s149,s109,s179,s57,cortana
s63,s27,s86,s187,s181,s106,s149,s109,s76,s145,cortana
s174,s142,s83,s137,s181,s106,s149,s109,s46,s180,cortana
s33,s4,s138,s11,s179,s180,s118,s159,s182,s178,cortana
s84,s94,s86,s99,s181,s106,s149,s109,s58,s0,cortana
s113,s46,s37,s145,s181,s106,s149,s109,s96,s167,cortana
s74,s121,s66,s34,s181,s106,s149,s109,s181,s90,cortana
s106,s127,s100,s2,s181,s106,s149,s109,s71,s165,cortana
s109,s161,s135,s136,s181,s106,s149,s109,s151,s47,cortana
s167,s4,s64,s55,s181,s106,s149,s109,s132,s169,cortana
s109,s155,s195,s118,s181,s106,s149,s109,s129,s64,cortana
s14,s111,s196,s101,s181,s106,s149,s109,s172,s121,cortana
s148,s78,s169,s130,s181,s106,s149,s109,s32,s2,cortana
s123,s50,s196,s149,s181,s106,s149,s109,s117,s15,cortana
s196,s192,s198,s20,s181,s106,s149,s109,s129,s179,cortana
s17,s97,s174,s106,s181,s106,s149,s109,s63,s137,cortana
s15,s52,s90,s115,s181,s106,s149,s109,s4,s185,cortana
s137,s88,s103,s124,s181,s106,s149,s109,s152,s14,cortana
s59,s73,s177,s109,s181,s106,s149,s109,s78,s82,cortana
s19,s118,s170,s86,s181,s106,s149,s109,s79,s58,cortana
s137,s185,s2,s109,s181,s106,s149,s109,s89,s152,cortana
s49,s49,s69,s69,s181,s106,s149,s109,s39,s198,cortana
s152,s19,s71,s197,s181,s106,s149,s109,s110,s118,cortana
s158,s100,s174,s157,s181,s106,s149,s109,s186,s145,cortana
s190,s100,s120,s162,s181,s106,s149,s109,s93,s9,cortana
s61,s183,s26,s184,s43,s29,s36,s116,s105,s134,cortana
s162,s186,s183,s100,s181,s106,s149,s109,s35,s44,cortana
s4,s135,s11,s9,s181,s106,s149,s109,s128,s87,cortana
s128,s69,s190,s166,s181,s106,s149,s109,s110,s125,cortana
s157,s175,s196,s194,s181,s106,s149,s109,s93,s191,cortana
s156,s113,s110,s5,s181,s106,s149,s109,s42,s42,cortana
s178,s66,s8,s174,s181,s106,s149,s109,s55,s85,cortana
s106,s181,s68,s16,s181,s106,s149,s109,s142,s10,cortana
s89,s194,s74,s149,s181,s106,s149,s109,s67,s24,cortana
s138,s121,s75,s145,s181,s106,s149,s109,s181,s187,cortana
s19,s26,s157,s160,s181,s106,s149,s109,s34,s189,cortana
s76,s152,s74,s166,s181,s106,s149,s109,s138,s123,cortana
s73,s94,s168,s85,s181,s106,s149,s109,s125,s24,cortana
s23,s94,s175,s112,s181,s106,s149,s109,s68,s93,cortana
s191,s140,s58,s171,s181,s106,s149,s109,s106,s171,cortana
s86,s92,s91,s146,s181,s106,s149,s109,s170,s88,cortana
s197,s29,s96,s32,s181,s106,s149,s109,s106,s24,cortana
s24,s86,s149,s70,s181,s106,s149,s109,s192,s168,cortana
s187,s101,s113,s38,s181,s106,s149,s109,s62,s147,cortana
s14,s171,s156,s156,s181,s106,s149,s109,s153,s162,cortana
s198,s32,s138,s165,s181,s106,s149,s109,s37,s160,cortana
s30,s12,s152,s108,s175,s92,s145,s20,s41,s91,cortana
