Mean_Acc1298_Mean_Mem40_Centroid	Mean_Acc1298_Mean_Mem40_Rolloff	Mean_Acc1298_Mean_Mem40_Flux	Mean_Acc1298_Mean_Mem40_MFCC_0	Mean_Acc1298_Mean_Mem40_MFCC_1	Mean_Acc1298_Mean_Mem40_MFCC_2	Mean_Acc1298_Mean_Mem40_MFCC_3	Mean_Acc1298_Mean_Mem40_MFCC_4	Mean_Acc1298_Mean_Mem40_MFCC_5	Mean_Acc1298_Mean_Mem40_MFCC_6	Mean_Acc1298_Mean_Mem40_MFCC_7	Mean_Acc1298_Mean_Mem40_MFCC_8	Mean_Acc1298_Mean_Mem40_MFCC_9	Mean_Acc1298_Mean_Mem40_MFCC_10	Mean_Acc1298_Mean_Mem40_MFCC_11	Mean_Acc1298_Mean_Mem40_MFCC_12	Mean_Acc1298_Std_Mem40_Centroid	Mean_Acc1298_Std_Mem40_Rolloff	Mean_Acc1298_Std_Mem40_Flux	Mean_Acc1298_Std_Mem40_MFCC_0	Mean_Acc1298_Std_Mem40_MFCC_1	Mean_Acc1298_Std_Mem40_MFCC_2	Mean_Acc1298_Std_Mem40_MFCC_3	Mean_Acc1298_Std_Mem40_MFCC_4	Mean_Acc1298_Std_Mem40_MFCC_5	Mean_Acc1298_Std_Mem40_MFCC_6	Mean_Acc1298_Std_Mem40_MFCC_7	Mean_Acc1298_Std_Mem40_MFCC_8	Mean_Acc1298_Std_Mem40_MFCC_9	Mean_Acc1298_Std_Mem40_MFCC_10	Mean_Acc1298_Std_Mem40_MFCC_11	Mean_Acc1298_Std_Mem40_MFCC_12	Std_Acc1298_Mean_Mem40_Centroid	Std_Acc1298_Mean_Mem40_Rolloff	Std_Acc1298_Mean_Mem40_Flux	Std_Acc1298_Mean_Mem40_MFCC_0	Std_Acc1298_Mean_Mem40_MFCC_1	Std_Acc1298_Mean_Mem40_MFCC_2	Std_Acc1298_Mean_Mem40_MFCC_3	Std_Acc1298_Mean_Mem40_MFCC_4	Std_Acc1298_Mean_Mem40_MFCC_5	Std_Acc1298_Mean_Mem40_MFCC_6	Std_Acc1298_Mean_Mem40_MFCC_7	Std_Acc1298_Mean_Mem40_MFCC_8	Std_Acc1298_Mean_Mem40_MFCC_9	Std_Acc1298_Mean_Mem40_MFCC_10	Std_Acc1298_Mean_Mem40_MFCC_11	Std_Acc1298_Mean_Mem40_MFCC_12	Std_Acc1298_Std_Mem40_Centroid	Std_Acc1298_Std_Mem40_Rolloff	Std_Acc1298_Std_Mem40_Flux	Std_Acc1298_Std_Mem40_MFCC_0	Std_Acc1298_Std_Mem40_MFCC_1	Std_Acc1298_Std_Mem40_MFCC_2	Std_Acc1298_Std_Mem40_MFCC_3	Std_Acc1298_Std_Mem40_MFCC_4	Std_Acc1298_Std_Mem40_MFCC_5	Std_Acc1298_Std_Mem40_MFCC_6	Std_Acc1298_Std_Mem40_MFCC_7	Std_Acc1298_Std_Mem40_MFCC_8	Std_Acc1298_Std_Mem40_MFCC_9	Std_Acc1298_Std_Mem40_MFCC_10	Std_Acc1298_Std_Mem40_MFCC_11	Std_Acc1298_Std_Mem40_MFCC_12	BH_LowPeakAmp	BH_LowPeakBPM	BH_HighPeakAmp	BH_HighPeakBPM	BH_HighLowRatio	BHSUM1	BHSUM2	BHSUM3	Class
"s0.082983"	"s0.30054"	"s0.085602"	"s-71.372412"	"s3.145401"	"s0.714134"	"s1.123619"	"s0.862533"	"s0.806506"	"s0.398096"	"s0.29512"	"s0.315694"	"s0.78221"	"s0.54173"	"s0.585211"	"s0.150867"	"s0.082135"	"s0.303433"	"s0.033937"	"s4.004739"	"s1.268769"	"s0.802766"	"s0.586996"	"s0.529168"	"s0.504591"	"s0.491653"	"s0.500285"	"s0.456431"	"s0.459529"	"s0.47544"	"s0.509359"	"s0.485804"	"s0.024466"	"s0.079459"	"s0.006586"	"s2.870643"	"s0.353131"	"s0.344814"	"s0.191284"	"s0.204201"	"s0.241819"	"s0.183717"	"s0.186684"	"s0.135467"	"s0.180765"	"s0.305718"	"s0.36131"	"s0.30325"	"s0.027099"	"s0.043483"	"s0.029805"	"s3.748058"	"s0.215116"	"s0.127531"	"s0.100803"	"s0.08498"	"s0.077117"	"s0.084654"	"s0.073212"	"s0.074158"	"s0.076209"	"s0.072488"	"s0.081253"	"s0.092276"	"s0.508472"	"s66.0"	"s0.719361"	"s132.0"	"s2.0"	"s0.722095"	"s0.719361"	"s1.507637"	false
"s0.040818"	"s0.062507"	"s0.075378"	"s-78.540065"	"s10.250785"	"s0.864172"	"s2.073003"	"s0.189105"	"s0.822186"	"s0.43566"	"s0.13108"	"s0.640483"	"s0.453037"	"s0.560823"	"s0.856998"	"s0.325034"	"s0.011069"	"s0.024813"	"s0.030623"	"s3.33838"	"s0.915455"	"s0.655961"	"s0.496168"	"s0.51501"	"s0.412758"	"s0.419854"	"s0.408523"	"s0.3985"	"s0.422852"	"s0.439312"	"s0.455606"	"s0.450419"	"s0.016189"	"s0.042041"	"s0.008099"	"s4.699336"	"s1.05421"	"s1.031071"	"s0.564339"	"s0.699728"	"s0.342499"	"s0.314771"	"s0.317852"	"s0.359665"	"s0.37486"	"s0.39183"	"s0.669253"	"s0.531872"	"s0.028221"	"s0.0609"	"s0.030183"	"s4.724008"	"s0.743022"	"s0.229856"	"s0.148695"	"s0.13288"	"s0.075656"	"s0.092213"	"s0.084147"	"s0.067537"	"s0.113323"	"s0.156909"	"s0.232385"	"s0.194903"	"s0.013309"	"s75.0"	"s0.0"	"s150.0"	"s2.0"	"s0.129483"	"s0.023137"	"s0.152619"	false
"s0.086124"	"s0.155707"	"s0.081526"	"s-72.657464"	"s6.928686"	"s-1.793201"	"s1.205349"	"s-0.376918"	"s1.387676"	"s0.633687"	"s1.033081"	"s0.642657"	"s-0.084683"	"s0.350527"	"s0.887527"	"s0.431368"	"s0.029185"	"s0.063593"	"s0.037849"	"s4.432572"	"s1.695705"	"s0.852433"	"s0.555503"	"s0.434803"	"s0.492276"	"s0.425246"	"s0.41544"	"s0.428784"	"s0.411089"	"s0.393031"	"s0.44911"	"s0.315902"	"s0.012427"	"s0.020695"	"s0.006785"	"s2.01841"	"s0.708632"	"s0.545832"	"s0.195892"	"s0.172082"	"s0.227886"	"s0.177447"	"s0.180275"	"s0.131499"	"s0.168946"	"s0.089988"	"s0.189561"	"s0.103983"	"s0.023003"	"s0.047797"	"s0.029132"	"s4.150037"	"s0.448436"	"s0.233739"	"s0.100991"	"s0.050026"	"s0.082862"	"s0.064722"	"s0.080083"	"s0.054248"	"s0.084305"	"s0.045042"	"s0.076392"	"s0.037729"	"s0.468954"	"s64.0"	"s0.738897"	"s128.0"	"s2.0"	"s0.564109"	"s0.765339"	"s1.378187"	false
"s0.115636"	"s0.441821"	"s0.087938"	"s-70.34185"	"s2.714254"	"s1.08692"	"s0.615066"	"s0.803207"	"s0.830422"	"s0.606523"	"s0.788295"	"s0.892701"	"s0.151616"	"s0.785338"	"s0.453032"	"s0.598925"	"s0.140928"	"s0.378189"	"s0.038519"	"s5.341694"	"s1.624186"	"s1.002649"	"s0.702523"	"s0.585733"	"s0.497048"	"s0.452183"	"s0.360535"	"s0.401846"	"s0.410856"	"s0.448534"	"s0.445181"	"s0.403076"	"s0.013363"	"s0.044887"	"s0.007338"	"s1.790994"	"s0.495953"	"s0.375276"	"s0.139571"	"s0.144646"	"s0.08174"	"s0.100965"	"s0.144074"	"s0.133711"	"s0.143659"	"s0.115322"	"s0.052091"	"s0.051521"	"s0.013152"	"s0.020035"	"s0.029565"	"s3.649605"	"s0.428048"	"s0.117842"	"s0.054015"	"s0.062232"	"s0.050673"	"s0.040493"	"s0.040925"	"s0.047343"	"s0.050531"	"s0.042073"	"s0.045348"	"s0.051826"	"s0.902254"	"s66.0"	"s0.642348"	"s132.0"	"s2.0"	"s1.107557"	"s0.71947"	"s1.936093"	false
"s0.062079"	"s0.265855"	"s0.090604"	"s-77.677107"	"s3.722371"	"s1.284853"	"s2.350868"	"s0.490832"	"s0.576838"	"s0.777813"	"s0.505027"	"s0.644092"	"s0.478505"	"s0.592435"	"s0.591228"	"s0.628688"	"s0.061641"	"s0.290245"	"s0.047078"	"s6.079297"	"s1.344232"	"s1.092844"	"s0.952338"	"s0.728748"	"s0.674971"	"s0.616432"	"s0.608953"	"s0.504479"	"s0.473799"	"s0.46265"	"s0.430293"	"s0.403312"	"s0.042784"	"s0.153808"	"s0.007681"	"s3.539961"	"s0.580462"	"s0.597307"	"s0.680799"	"s0.358858"	"s0.507416"	"s0.341763"	"s0.393106"	"s0.285307"	"s0.267853"	"s0.307694"	"s0.319911"	"s0.36899"	"s0.043986"	"s0.094588"	"s0.028928"	"s3.954231"	"s0.326795"	"s0.393978"	"s0.255696"	"s0.25158"	"s0.167425"	"s0.137543"	"s0.168835"	"s0.096092"	"s0.108382"	"s0.103186"	"s0.092341"	"s0.091055"	"s0.02429"	"s100.0"	"s0.024237"	"s200.0"	"s2.0"	"s0.031493"	"s0.07273"	"s0.16307"	true
"s0.06118"	"s0.304828"	"s0.082799"	"s-77.078349"	"s2.258332"	"s0.165154"	"s2.729505"	"s0.712338"	"s1.156522"	"s0.299492"	"s0.582403"	"s-0.021537"	"s0.24515"	"s0.591026"	"s1.021535"	"s0.939386"	"s0.045715"	"s0.279723"	"s0.036741"	"s4.527113"	"s1.19042"	"s1.100785"	"s0.794841"	"s0.559807"	"s0.526162"	"s0.561895"	"s0.49768"	"s0.474123"	"s0.527287"	"s0.51701"	"s0.49859"	"s0.45383"	"s0.042551"	"s0.156437"	"s0.008907"	"s7.66623"	"s0.707696"	"s0.772131"	"s0.645411"	"s0.56564"	"s0.313402"	"s0.283124"	"s0.238144"	"s0.295001"	"s0.391785"	"s0.368231"	"s0.427561"	"s0.336762"	"s0.027518"	"s0.138364"	"s0.029218"	"s4.319583"	"s0.251969"	"s0.297029"	"s0.174691"	"s0.119005"	"s0.125455"	"s0.077256"	"s0.057621"	"s0.077008"	"s0.091038"	"s0.071638"	"s0.091684"	"s0.082113"	"s0.032272"	"s68.0"	"s0.091137"	"s136.0"	"s2.0"	"s0.173345"	"s0.364701"	"s0.851227"	false
"s0.049386"	"s0.086982"	"s0.076463"	"s-76.062293"	"s6.040022"	"s1.882878"	"s1.591389"	"s0.691705"	"s1.145646"	"s-0.069368"	"s-0.022274"	"s0.450824"	"s0.277937"	"s0.407369"	"s0.587039"	"s0.467387"	"s0.020549"	"s0.066417"	"s0.033372"	"s4.674637"	"s1.384798"	"s0.873704"	"s0.485288"	"s0.520032"	"s0.459672"	"s0.506636"	"s0.488774"	"s0.450629"	"s0.395981"	"s0.47794"	"s0.503081"	"s0.495809"	"s0.020605"	"s0.053817"	"s0.007085"	"s3.25329"	"s1.06723"	"s0.75873"	"s0.272605"	"s0.476861"	"s0.291343"	"s0.274172"	"s0.327626"	"s0.425822"	"s0.359587"	"s0.350746"	"s0.388479"	"s0.365926"	"s0.026289"	"s0.079728"	"s0.030038"	"s4.951752"	"s0.577454"	"s0.303033"	"s0.127105"	"s0.162818"	"s0.104628"	"s0.131948"	"s0.137957"	"s0.13294"	"s0.144396"	"s0.201987"	"s0.168843"	"s0.225917"	"s0.09856"	"s100.0"	"s0.0"	"s200.0"	"s2.0"	"s0.054678"	"s0.616067"	"s0.702316"	false
"s0.074997"	"s0.287184"	"s0.087383"	"s-70.844542"	"s3.112653"	"s1.113814"	"s0.538881"	"s0.661123"	"s0.771471"	"s0.686562"	"s0.898366"	"s0.567824"	"s0.700903"	"s0.381233"	"s0.534412"	"s0.717499"	"s0.065126"	"s0.299934"	"s0.037808"	"s5.006048"	"s1.004425"	"s0.852315"	"s0.607506"	"s0.63469"	"s0.536243"	"s0.594133"	"s0.46219"	"s0.53101"	"s0.564841"	"s0.582155"	"s0.450541"	"s0.395644"	"s0.01793"	"s0.049548"	"s0.006725"	"s1.88188"	"s0.480739"	"s0.303931"	"s0.199127"	"s0.126895"	"s0.143026"	"s0.12697"	"s0.133732"	"s0.172156"	"s0.170097"	"s0.193277"	"s0.100363"	"s0.07872"	"s0.023393"	"s0.028996"	"s0.02955"	"s3.73286"	"s0.1664"	"s0.106252"	"s0.083543"	"s0.067515"	"s0.087165"	"s0.063749"	"s0.062113"	"s0.079618"	"s0.081156"	"s0.145276"	"s0.059838"	"s0.058098"	"s1.203611"	"s68.0"	"s1.25259"	"s136.0"	"s2.0"	"s1.240886"	"s1.270969"	"s2.537738"	false
"s0.033318"	"s0.099097"	"s0.076649"	"s-77.401805"	"s6.483624"	"s1.368732"	"s1.933134"	"s1.057842"	"s1.106989"	"s0.419037"	"s0.59865"	"s0.604886"	"s0.89255"	"s0.553447"	"s0.221234"	"s0.572569"	"s0.02602"	"s0.136564"	"s0.029352"	"s3.504694"	"s1.097885"	"s0.601763"	"s0.576345"	"s0.439593"	"s0.431994"	"s0.472704"	"s0.456987"	"s0.396744"	"s0.387707"	"s0.396914"	"s0.425353"	"s0.395727"	"s0.028637"	"s0.103777"	"s0.009666"	"s5.215611"	"s1.191397"	"s0.549859"	"s0.546724"	"s0.396062"	"s0.515132"	"s0.598131"	"s0.553139"	"s0.429488"	"s0.349428"	"s0.286055"	"s0.56012"	"s0.258417"	"s0.048056"	"s0.148942"	"s0.030324"	"s4.578983"	"s0.600157"	"s0.251412"	"s0.220678"	"s0.143704"	"s0.128316"	"s0.167389"	"s0.162378"	"s0.110887"	"s0.1085"	"s0.094177"	"s0.111933"	"s0.108294"	"s0.025429"	"s54.0"	"s0.017679"	"s108.0"	"s2.0"	"s0.17689"	"s0.068891"	"s0.257209"	false
"s0.015045"	"s0.368269"	"s0.112005"	"s-79.297856"	"s8.139472"	"s1.742927"	"s1.800501"	"s1.024516"	"s1.182993"	"s0.978228"	"s0.742722"	"s0.515032"	"s0.762382"	"s0.581339"	"s0.632344"	"s0.438524"	"s0.015336"	"s0.464514"	"s0.066539"	"s7.863114"	"s2.191757"	"s1.220497"	"s0.764172"	"s0.601874"	"s0.419632"	"s0.347897"	"s0.33871"	"s0.347854"	"s0.375391"	"s0.430105"	"s0.331333"	"s0.31837"	"s0.012874"	"s0.051251"	"s0.011607"	"s2.935503"	"s0.684151"	"s0.457415"	"s0.35052"	"s0.17741"	"s0.179873"	"s0.117825"	"s0.090743"	"s0.070991"	"s0.077442"	"s0.101822"	"s0.094791"	"s0.053911"	"s0.028584"	"s0.015678"	"s0.024893"	"s3.559992"	"s0.409639"	"s0.205205"	"s0.14086"	"s0.067219"	"s0.077123"	"s0.054315"	"s0.044292"	"s0.041669"	"s0.055717"	"s0.055492"	"s0.056063"	"s0.035386"	"s0.615679"	"s67.0"	"s0.716661"	"s134.0"	"s2.0"	"s0.691431"	"s0.716661"	"s1.457576"	false
"s0.085168"	"s0.216841"	"s0.086649"	"s-69.095021"	"s3.315018"	"s1.432707"	"s2.174924"	"s0.448872"	"s0.612483"	"s0.620487"	"s0.296932"	"s0.514769"	"s0.478804"	"s0.316001"	"s0.496862"	"s0.318833"	"s0.060006"	"s0.178002"	"s0.032616"	"s4.575953"	"s1.499172"	"s1.093176"	"s1.077011"	"s0.762727"	"s0.717681"	"s0.646645"	"s0.664001"	"s0.582644"	"s0.543991"	"s0.501206"	"s0.544511"	"s0.515386"	"s0.026985"	"s0.06686"	"s0.008464"	"s2.152917"	"s0.635972"	"s0.941211"	"s0.563979"	"s0.342747"	"s0.33464"	"s0.274319"	"s0.204841"	"s0.186728"	"s0.204199"	"s0.161878"	"s0.159302"	"s0.254848"	"s0.024841"	"s0.064466"	"s0.029452"	"s3.827597"	"s0.438513"	"s0.296643"	"s0.243189"	"s0.143206"	"s0.13477"	"s0.095339"	"s0.142999"	"s0.084025"	"s0.088768"	"s0.090284"	"s0.117054"	"s0.095339"	"s0.257578"	"s93.0"	"s0.009134"	"s186.0"	"s2.0"	"s0.08405"	"s0.426618"	"s0.612001"	false
"s0.038643"	"s0.075646"	"s0.088143"	"s-69.353246"	"s5.511925"	"s1.132769"	"s1.994149"	"s0.567069"	"s1.403564"	"s0.66654"	"s0.532428"	"s0.375936"	"s0.869247"	"s0.447637"	"s0.400726"	"s0.489843"	"s0.026145"	"s0.078954"	"s0.03598"	"s6.198187"	"s1.363345"	"s0.951539"	"s1.041413"	"s0.739014"	"s0.762488"	"s0.723416"	"s0.590345"	"s0.543442"	"s0.519549"	"s0.482357"	"s0.521607"	"s0.466343"	"s0.015805"	"s0.036043"	"s0.007406"	"s2.660443"	"s0.647418"	"s0.643875"	"s0.607381"	"s0.313185"	"s0.324604"	"s0.410804"	"s0.23401"	"s0.245388"	"s0.206521"	"s0.243941"	"s0.209364"	"s0.213395"	"s0.026212"	"s0.057366"	"s0.029321"	"s3.46864"	"s0.280202"	"s0.208888"	"s0.198293"	"s0.191614"	"s0.155965"	"s0.176703"	"s0.12018"	"s0.106413"	"s0.099684"	"s0.088416"	"s0.103309"	"s0.089506"	"s0.129071"	"s70.0"	"s0.0"	"s140.0"	"s2.0"	"s0.323677"	"s0.27321"	"s0.596887"	true
"s0.059203"	"s0.122951"	"s0.092034"	"s-73.500311"	"s6.82265"	"s-0.23205"	"s1.732324"	"s0.942071"	"s0.71718"	"s0.984072"	"s0.498924"	"s0.152646"	"s0.329774"	"s0.658966"	"s0.202987"	"s0.682235"	"s0.052961"	"s0.146129"	"s0.04125"	"s4.924186"	"s1.760906"	"s1.087586"	"s1.002661"	"s0.785911"	"s0.695123"	"s0.651891"	"s0.527782"	"s0.602469"	"s0.54863"	"s0.482303"	"s0.549932"	"s0.521275"	"s0.023175"	"s0.052402"	"s0.008925"	"s2.753388"	"s1.155046"	"s0.637286"	"s0.731782"	"s0.443589"	"s0.498551"	"s0.371573"	"s0.265385"	"s0.370891"	"s0.29088"	"s0.210998"	"s0.402508"	"s0.32545"	"s0.035966"	"s0.070919"	"s0.028803"	"s3.959519"	"s0.403799"	"s0.293861"	"s0.18066"	"s0.18202"	"s0.159458"	"s0.116818"	"s0.088974"	"s0.115316"	"s0.097254"	"s0.081374"	"s0.119593"	"s0.103382"	"s0.114443"	"s75.0"	"s0.0"	"s150.0"	"s2.0"	"s0.599066"	"s0.249179"	"s0.852691"	false
"s0.073129"	"s0.201071"	"s0.083537"	"s-71.259803"	"s3.241462"	"s1.204569"	"s1.22614"	"s0.688709"	"s1.41044"	"s0.763787"	"s0.943205"	"s0.765026"	"s0.592457"	"s0.521339"	"s0.311459"	"s0.284785"	"s0.07167"	"s0.223686"	"s0.038367"	"s4.785704"	"s1.261375"	"s0.83842"	"s0.639651"	"s0.501831"	"s0.478537"	"s0.473943"	"s0.456713"	"s0.572772"	"s0.51054"	"s0.394817"	"s0.481529"	"s0.44685"	"s0.017239"	"s0.031835"	"s0.007076"	"s2.368899"	"s0.2803"	"s0.210982"	"s0.189725"	"s0.172284"	"s0.233735"	"s0.196049"	"s0.143403"	"s0.16025"	"s0.136687"	"s0.10879"	"s0.134077"	"s0.094941"	"s0.019479"	"s0.035592"	"s0.029478"	"s3.925691"	"s0.339204"	"s0.161724"	"s0.120237"	"s0.076718"	"s0.121004"	"s0.091062"	"s0.104836"	"s0.148102"	"s0.135747"	"s0.079273"	"s0.092866"	"s0.10641"	"s0.764071"	"s69.0"	"s1.020402"	"s138.0"	"s2.0"	"s0.851061"	"s1.028826"	"s1.920681"	false
"s0.053929"	"s0.18923"	"s0.083865"	"s-64.240531"	"s3.752716"	"s0.123361"	"s0.689976"	"s1.374366"	"s1.003698"	"s0.739786"	"s0.731513"	"s0.854851"	"s0.739648"	"s0.788481"	"s0.401964"	"s0.739474"	"s0.037713"	"s0.235515"	"s0.034984"	"s3.96947"	"s1.334256"	"s0.979409"	"s0.618949"	"s0.547471"	"s0.732022"	"s0.493009"	"s0.522116"	"s0.477967"	"s0.587556"	"s0.518172"	"s0.496846"	"s0.391877"	"s0.012551"	"s0.029016"	"s0.007816"	"s1.469984"	"s0.611517"	"s0.292522"	"s0.189845"	"s0.227531"	"s0.183131"	"s0.085774"	"s0.127196"	"s0.097417"	"s0.119859"	"s0.074248"	"s0.0604"	"s0.082031"	"s0.023046"	"s0.041784"	"s0.029273"	"s3.703882"	"s0.25246"	"s0.132919"	"s0.059091"	"s0.080115"	"s0.081397"	"s0.041673"	"s0.057588"	"s0.032399"	"s0.056571"	"s0.038015"	"s0.051055"	"s0.035829"	"s0.430191"	"s68.0"	"s0.020108"	"s136.0"	"s2.0"	"s0.462993"	"s0.020108"	"s0.617393"	false
"s0.082293"	"s0.193139"	"s0.094761"	"s-66.825767"	"s4.061994"	"s0.823375"	"s0.938858"	"s1.340398"	"s0.743328"	"s0.229585"	"s0.6005"	"s0.078175"	"s0.85954"	"s0.670836"	"s0.554244"	"s0.433209"	"s0.063936"	"s0.171084"	"s0.042542"	"s5.090928"	"s1.731306"	"s1.279096"	"s1.173224"	"s0.883898"	"s0.646448"	"s0.622095"	"s0.63454"	"s0.594047"	"s0.588507"	"s0.567908"	"s0.603728"	"s0.498645"	"s0.016794"	"s0.038683"	"s0.007637"	"s2.778554"	"s0.76359"	"s0.812097"	"s0.636602"	"s0.515058"	"s0.309613"	"s0.326065"	"s0.320872"	"s0.348015"	"s0.316581"	"s0.29013"	"s0.295268"	"s0.19603"	"s0.026637"	"s0.043206"	"s0.028644"	"s3.527111"	"s0.338592"	"s0.32304"	"s0.252771"	"s0.187326"	"s0.104403"	"s0.101106"	"s0.104509"	"s0.138743"	"s0.091828"	"s0.0875"	"s0.097719"	"s0.066893"	"s0.058773"	"s64.0"	"s0.65318"	"s128.0"	"s2.0"	"s0.207709"	"s0.869197"	"s1.076906"	false
"s0.103149"	"s0.232967"	"s0.091453"	"s-71.61846"	"s2.139315"	"s0.474616"	"s1.717564"	"s0.784327"	"s1.405562"	"s0.861008"	"s0.964517"	"s0.831661"	"s0.688222"	"s0.66213"	"s0.655183"	"s0.533817"	"s0.097657"	"s0.205368"	"s0.03922"	"s6.385307"	"s1.459394"	"s1.524373"	"s1.059381"	"s0.773071"	"s0.65006"	"s0.619974"	"s0.531335"	"s0.565993"	"s0.490191"	"s0.492851"	"s0.468583"	"s0.441745"	"s0.030838"	"s0.054269"	"s0.007189"	"s2.841529"	"s0.502671"	"s0.452577"	"s0.421073"	"s0.313769"	"s0.220274"	"s0.224544"	"s0.160519"	"s0.16075"	"s0.10398"	"s0.119561"	"s0.147263"	"s0.117092"	"s0.03372"	"s0.045669"	"s0.029133"	"s3.544964"	"s0.336473"	"s0.260041"	"s0.174931"	"s0.180573"	"s0.114319"	"s0.110505"	"s0.082867"	"s0.096797"	"s0.079394"	"s0.088"	"s0.08664"	"s0.076528"	"s0.211011"	"s61.0"	"s0.0"	"s183.0"	"s3.0"	"s0.222806"	"s0.098341"	"s0.52502"	false
"s0.058056"	"s0.090415"	"s0.077227"	"s-84.646931"	"s7.119"	"s-0.578244"	"s0.932902"	"s0.69219"	"s0.668167"	"s0.40329"	"s0.247557"	"s-0.118664"	"s-0.089399"	"s0.113576"	"s-0.008587"	"s-0.01778"	"s0.017039"	"s0.046568"	"s0.030007"	"s4.132612"	"s0.998206"	"s0.692281"	"s0.532079"	"s0.462127"	"s0.458592"	"s0.444734"	"s0.425515"	"s0.468808"	"s0.489854"	"s0.499165"	"s0.489283"	"s0.576476"	"s0.032072"	"s0.052181"	"s0.009827"	"s9.286859"	"s1.548665"	"s1.493879"	"s0.532156"	"s0.379648"	"s0.42941"	"s0.450767"	"s0.512416"	"s0.802756"	"s0.791802"	"s0.735334"	"s1.16005"	"s1.809666"	"s0.028022"	"s0.067968"	"s0.029656"	"s5.171694"	"s0.646898"	"s0.376793"	"s0.143887"	"s0.121232"	"s0.138809"	"s0.150346"	"s0.122953"	"s0.216557"	"s0.26296"	"s0.308444"	"s0.312084"	"s0.399116"	"s0.051543"	"s113.0"	"s0.0"	"s226.0"	"s2.0"	"s0.126064"	"s0.149061"	"s0.328504"	false
"s0.085033"	"s0.203858"	"s0.096673"	"s-66.984755"	"s3.46927"	"s-1.234014"	"s0.289973"	"s0.666062"	"s1.410057"	"s0.745897"	"s0.726845"	"s0.400142"	"s0.373862"	"s0.326034"	"s0.6327"	"s0.605972"	"s0.05368"	"s0.159506"	"s0.039675"	"s4.81837"	"s1.374627"	"s0.840946"	"s0.611467"	"s0.532577"	"s0.536796"	"s0.430109"	"s0.403742"	"s0.435678"	"s0.419653"	"s0.427339"	"s0.407368"	"s0.388308"	"s0.010574"	"s0.038732"	"s0.007222"	"s1.31339"	"s0.663879"	"s0.415823"	"s0.384038"	"s0.252059"	"s0.362916"	"s0.195019"	"s0.210668"	"s0.321506"	"s0.304769"	"s0.156278"	"s0.308531"	"s0.171841"	"s0.02013"	"s0.06191"	"s0.028678"	"s3.810223"	"s0.386472"	"s0.151937"	"s0.070757"	"s0.071836"	"s0.105741"	"s0.051637"	"s0.048744"	"s0.067306"	"s0.063304"	"s0.04698"	"s0.068181"	"s0.050425"	"s0.541544"	"s68.0"	"s0.609713"	"s136.0"	"s2.0"	"s0.666036"	"s0.77807"	"s1.613032"	false
"s0.130384"	"s0.459788"	"s0.088932"	"s-67.676658"	"s2.565913"	"s0.620231"	"s0.914739"	"s1.007294"	"s0.915024"	"s0.632548"	"s0.307047"	"s0.352873"	"s0.596772"	"s0.438749"	"s0.564733"	"s0.36336"	"s0.111115"	"s0.322399"	"s0.036573"	"s3.980374"	"s1.185594"	"s0.743619"	"s0.574995"	"s0.459841"	"s0.430183"	"s0.473638"	"s0.487477"	"s0.487251"	"s0.436034"	"s0.431606"	"s0.397949"	"s0.403164"	"s0.015141"	"s0.049879"	"s0.008401"	"s1.999887"	"s0.36549"	"s0.276507"	"s0.212551"	"s0.11375"	"s0.095092"	"s0.115343"	"s0.160394"	"s0.202958"	"s0.157715"	"s0.124421"	"s0.062901"	"s0.117104"	"s0.018132"	"s0.051812"	"s0.029745"	"s3.643539"	"s0.205032"	"s0.138321"	"s0.078404"	"s0.064017"	"s0.057519"	"s0.078893"	"s0.083675"	"s0.075584"	"s0.062626"	"s0.066898"	"s0.050906"	"s0.055739"	"s1.039388"	"s66.0"	"s1.265708"	"s132.0"	"s2.0"	"s1.16653"	"s1.349442"	"s2.530439"	false
"s0.072272"	"s0.243549"	"s0.083263"	"s-73.957542"	"s4.163409"	"s0.384698"	"s1.404664"	"s0.354069"	"s0.648839"	"s0.722919"	"s0.666292"	"s0.606306"	"s0.688345"	"s0.92604"	"s0.450733"	"s0.549758"	"s0.064778"	"s0.268223"	"s0.033675"	"s4.795188"	"s1.243649"	"s1.143901"	"s1.029153"	"s0.820908"	"s0.610108"	"s0.637708"	"s0.535043"	"s0.546703"	"s0.493119"	"s0.54896"	"s0.481038"	"s0.460094"	"s0.030869"	"s0.091588"	"s0.007544"	"s3.317567"	"s0.683433"	"s0.736631"	"s0.633749"	"s0.473082"	"s0.369644"	"s0.298291"	"s0.195795"	"s0.321887"	"s0.225883"	"s0.265906"	"s0.253374"	"s0.23203"	"s0.043271"	"s0.096312"	"s0.029952"	"s4.174386"	"s0.33967"	"s0.278383"	"s0.236801"	"s0.135959"	"s0.120072"	"s0.139073"	"s0.099495"	"s0.11244"	"s0.092317"	"s0.125206"	"s0.094702"	"s0.081403"	"s1.04437"	"s66.0"	"s1.389929"	"s132.0"	"s2.0"	"s1.174277"	"s1.389929"	"s2.576441"	false
